cs_chr	cs_start	cs_end	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	n_anchors	mean_identity
Chr6A	2717980	4166989	Chr6A	11222863	12931808	25	0.9794800000000001
Chr6A	57605	2409840	Chr6A	112374	3587574	49	0.9868367346938777
Chr6A	4579305	10137877	Chr6A	6259086	11151367	84	0.9844880952380952
Chr6A	12421266	162912229	Chr6A	13202594	162188921	1289	0.9956865787432119
Chr6A	166503285	172174207	Chr6A	165741021	171144093	30	0.9994666666666667
Chr6A	174450789	233957452	Chr6A	173394831	232293132	204	0.998171568627451
Chr6A	241266065	242194840	Chr6A	239374658	240209103	3	0.9946666666666667
Chr6A	248542355	252837117	Chr6A	246396164	250625100	8	0.9975
Chr6A	254937051	261705155	Chr6A	252771807	259194069	20	0.9943500000000001
Chr6A	263891514	273262995	Chr6A	261391488	270908152	22	0.9966363636363635
Chr6A	276303162	290261504	Chr6A	273896631	290241024	19	0.998
Chr6A	297672165	317154843	Chr6A	295726884	315367805	22	0.9968636363636363
Chr6A	321270304	324290097	Chr6A	319459516	322409729	8	0.9974999999999999
Chr6A	326393120	330049812	Chr6A	324552283	328180274	6	0.997
Chr6A	332183472	344185082	Chr6A	330227838	342498953	16	0.9933749999999999
Chr6A	346572929	346594380	Chr6A	344901682	344925914	3	0.9986666666666667
Chr6A	351830716	353340072	Chr6A	350285538	351776002	4	0.99775
Chr6A	355403353	408043029	Chr6A	353654614	405013825	144	0.9975625
Chr6A	423317150	427447571	Chr6A	417345800	421302893	18	0.9990555555555556
Chr6A	439667939	526117584	Chr6A	435126440	521147173	591	0.9981827411167512
Chr6A	528949160	575298230	Chr6A	521179602	566980083	449	0.9960712694877505
Chr6A	577723597	617928339	Chr6A	568534817	610643034	654	0.9919694189602447
Chr6A	409083846	422327656	Chr6A	422214392	434970244	51	0.9965098039215686
Chr6A	427614159	438587059	Chr6A	406595505	417186903	47	0.9944680851063831
Chr6A	613237431	613693754	Chr6A	610804775	611539805	16	0.9662499999999999
