cs_chr	cs_start	cs_end	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	n_anchors	mean_identity
Chr5A	14293	60528080	Chr5A	1452570	63419787	509	0.995312377210216
Chr5A	63377052	151734470	Chr5A	66069194	153997375	398	0.9962386934673366
Chr5A	155555039	159534199	Chr5A	157786480	161736804	13	1.0
Chr5A	161914114	180994113	Chr5A	164089946	182993608	37	0.9994864864864865
Chr5A	183430057	185651119	Chr5A	185399284	187594397	4	1.0
Chr5A	191038029	199222973	Chr5A	192883202	200960714	16	0.9988125
Chr5A	203479442	222599127	Chr5A	205196597	224303562	33	0.9999090909090909
Chr5A	224689467	237370335	Chr5A	226380790	238290047	28	0.9982142857142858
Chr5A	246826194	248536470	Chr5A	245995360	250601359	6	1.0
Chr5A	258775970	388640539	Chr5A	260207423	388760139	637	0.9988320251177395
Chr5A	394754012	399457446	Chr5A	391970788	396650851	58	0.997896551724138
Chr5A	402540994	423746112	Chr5A	402406502	422864310	112	0.9965982142857143
Chr5A	426537435	496609098	Chr5A	423291031	492254690	748	0.9971644385026737
Chr5A	500629040	709675600	Chr5A	493185578	701003767	2544	0.9974748427672956
