cs_chr	cs_start	cs_end	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	n_anchors	mean_identity
Chr3A	16208	1921282	Chr3A	445399	2612673	29	0.9767931034482757
Chr3A	6895728	14278526	Chr3A	2743790	9662316	163	0.9852822085889571
Chr3A	17452482	128718501	Chr3A	9939961	130035116	1094	0.9975429616087751
Chr3A	130835529	181088605	Chr3A	132138796	181607451	215	0.9985488372093023
Chr3A	184214632	251342423	Chr3A	184717069	251396548	204	0.9992499999999999
Chr3A	259064196	267056348	Chr3A	258984107	266917241	12	0.9978333333333333
Chr3A	269215500	273159995	Chr3A	269093033	272987759	6	0.9996666666666667
Chr3A	275284207	283103162	Chr3A	275112839	282856376	7	0.9998571428571428
Chr3A	288539387	293589663	Chr3A	288844986	293861797	6	0.9991666666666666
Chr3A	295949198	314620161	Chr3A	296211826	314672879	24	0.99975
Chr3A	321109384	337881732	Chr3A	320411328	337546697	30	0.9995333333333334
Chr3A	340259729	343231466	Chr3A	339949423	342875287	8	0.995625
Chr3A	345871376	349014829	Chr3A	345516988	348637492	6	0.9998333333333335
Chr3A	351126951	528599904	Chr3A	350718671	526546155	867	0.9978950403690887
Chr3A	532641004	545153837	Chr3A	526628153	539072563	86	0.9917790697674421
Chr3A	556260652	750618114	Chr3A	543388689	739804734	2072	0.9962417953667955
Chr3A	530187839	530496965	Chr3A	540997933	541319246	5	0.9904
Chr3A	531078912	532488472	Chr3A	539030084	540394402	17	0.9943529411764706
Chr3A	545257989	547981226	Chr3A	98737581	101478158	30	0.9985666666666667
Chr3A	549266231	555697701	Chr3A	102745090	109001187	47	0.9950425531914894
