cs_chr	cs_start	cs_end	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	n_anchors	mean_identity
Chr6B	291769990	297476059	Chr6B	299289543	304869972	13	0.9969230769230768
Chr6B	306799030	316458084	Chr6B	280575434	290070515	18	0.9987222222222223
Chr6B	333518318	338013945	Chr6B	310934230	315424716	10	0.9964999999999999
Chr6B	168584	103962989	Chr6B	599579	104820470	944	0.9908029661016949
Chr6B	106468710	109142658	Chr6B	107315968	110295991	7	0.9994285714285714
Chr6B	111685641	240401733	Chr6B	111947908	240591139	755	0.9947682119205298
Chr6B	243269422	252842611	Chr6B	243479071	252968603	29	0.9978965517241379
Chr6B	255004953	262472341	Chr6B	255118773	262831088	30	0.9928
Chr6B	274210524	282983990	Chr6B	263553282	272042864	39	0.9936410256410259
Chr6B	286712737	291066228	Chr6B	275893607	280208772	21	0.9953333333333331
Chr6B	298289551	302596217	Chr6B	291413945	298472666	18	0.9931666666666666
Chr6B	317213268	321293096	Chr6B	305708075	309771114	11	0.9954545454545456
Chr6B	341712366	343111521	Chr6B	335629005	337000195	5	0.9952
Chr6B	369526074	375641657	Chr6B	362271396	368374564	9	0.9957777777777778
Chr6B	402215985	424126207	Chr6B	395025439	416605298	55	0.9973818181818183
Chr6B	430193107	441049080	Chr6B	417556139	428119776	50	0.9981
Chr6B	444540716	479000671	Chr6B	431612573	465769454	166	0.9957048192771083
Chr6B	493318567	499578091	Chr6B	482117265	488496419	31	0.9994193548387096
Chr6B	516078619	620708761	Chr6B	503119727	608507893	639	0.9964381846635368
Chr6B	622726250	626889431	Chr6B	610561732	614776531	32	0.9957812500000001
Chr6B	630465748	699540839	Chr6B	617277455	684523370	638	0.9923683385579939
Chr6B	701658209	719901288	Chr6B	685547144	703161589	260	0.9888423076923076
Chr6B	479300211	492494740	Chr6B	489308023	502731373	58	0.9917413793103449
Chr6B	499893180	515582492	Chr6B	466248467	481809725	99	0.9996767676767677
Chr6B	693301235	694167967	Chr6B	684618615	685396551	10	0.9728999999999999
