cs_chr	cs_start	cs_end	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	n_anchors	mean_identity
Chr3D	2148773	116408326	Chr3D	26444	116268175	1316	0.9988685410334346
Chr3D	118542402	193596645	Chr3D	118391777	193026190	418	0.9988157894736842
Chr3D	196947044	200390459	Chr3D	196316132	199736065	5	1.0
Chr3D	202614073	202651143	Chr3D	202110741	202146992	4	0.99925
Chr3D	206979095	213997235	Chr3D	206430686	213313073	11	0.9991818181818182
Chr3D	216425033	219568689	Chr3D	215725364	218835126	6	1.0
Chr3D	225525420	232470513	Chr3D	224872519	231786504	13	0.9995384615384615
Chr3D	236649266	244292283	Chr3D	235934561	243913438	11	0.9995454545454546
Chr3D	246327705	257173258	Chr3D	244707059	256684704	29	0.9996206896551725
Chr3D	259434941	298593191	Chr3D	258926401	297471316	135	0.9992370370370369
Chr3D	309654306	313930346	Chr3D	308315347	312571882	33	0.9999090909090909
Chr3D	324387385	492131921	Chr3D	323261436	489728617	1378	0.9990537010159652
Chr3D	494653889	605223774	Chr3D	492241267	600522985	1421	0.9992477128782548
Chr3D	607225375	612315338	Chr3D	603845232	608627071	94	0.9938297872340425
