cs_chr	cs_start	cs_end	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	n_anchors	mean_identity
Chr3B	5583193	9427347	Chr3B	14552117	21596872	67	0.9857462686567164
Chr3B	17615295	85340142	Chr3B	26282298	97464836	688	0.9928081395348838
Chr3B	87718232	191189469	Chr3B	99826691	203698185	596	0.9961090604026847
Chr3B	193609697	195100861	Chr3B	206172064	207678047	11	0.9984545454545454
Chr3B	197792489	207735313	Chr3B	210457139	220282620	59	0.9964237288135593
Chr3B	212297313	215012163	Chr3B	225076696	227567045	11	0.9939090909090911
Chr3B	219342949	230195021	Chr3B	230769069	243610154	50	0.99164
Chr3B	235855911	277099960	Chr3B	249041285	290680567	192	0.9956354166666666
Chr3B	283596077	284678121	Chr3B	297490276	298605842	4	0.9935
Chr3B	292022415	295071211	Chr3B	302121968	307870213	3	0.996
Chr3B	299132814	309615956	Chr3B	312644159	325542838	15	0.9970666666666668
Chr3B	312893801	317625373	Chr3B	326929747	332635817	7	0.9944285714285713
Chr3B	322293448	338599491	Chr3B	337266485	353985058	24	0.9940416666666666
Chr3B	340796436	355438414	Chr3B	356174126	374664856	25	0.99448
Chr3B	371978296	467052960	Chr3B	387501652	485912620	481	0.9968295218295219
Chr3B	469640104	515476078	Chr3B	488482854	535447232	261	0.9973065134099618
Chr3B	518913010	827516175	Chr3B	538375174	848337294	2566	0.9956839438815277
