cs_chr	Mace_tgt_chr	n_anchors	Mace_mean_anchor_gap_Mb	Mace_interp_type	n_segments	Mace_mean_anchor_fraction
Chr1A	Chr1A+Chr1A	3906	0.111	linear+linear	2	0.935
Chr1B	Chr1B+Chr1B+Chr1B+Chr1B+Chr1B+Chr1B+Chr1B	4070	0.106	pchip_inverted+pchip_inverted+pchip_inverted+linear+pchip_inverted+pchip_inverted+pchip_inverted	7	0.903
Chr1D	Chr1D	4301	0.115	linear	1	0.971
Chr2A	Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A	4819	0.576	pchip_inverted+linear+linear+pchip_inverted+pchip_inverted+linear+linear+linear	8	0.875
Chr2B	Chr2B+Chr2B+Chr2B+Chr2B+Chr2B+Chr2B	5366	0.201	pchip_inverted+pchip_inverted+pchip+linear+pchip_inverted+pchip_inverted	6	0.917
Chr2D	Chr2D+Chr2D+Chr2D	5699	0.102	linear+linear+linear	3	0.978
Chr3A	Chr3A+Chr3A+Chr3A+Chr3A+Chr3A	4932	0.111	linear+pchip_inverted+pchip_inverted+pchip+pchip	5	0.966
Chr3B	Chr3B+Chr3B+Chr3B+Chr3B+Chr3B+Chr3B	5150	0.191	pchip+pchip_inverted+pchip_inverted+linear+pchip_inverted+linear	6	0.91
Chr3D	Chr3D+Chr3D+Chr3D+Chr3D	5000	0.152	pchip_inverted+pchip_inverted+pchip_inverted+linear	4	0.968
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A	4269	0.306	linear+linear+linear+linear+linear+pchip_inverted	6	0.933
Chr4B	Chr4B+Chr4B	3521	0.13	linear+pchip_inverted	2	0.766
Chr4D	Chr4D	3444	0.147	linear	1	0.98
Chr5A	Chr5A+Chr5A+Chr5A+Chr5A+Chr5A	5242	0.168	pchip_inverted+pchip_inverted+pchip_inverted+pchip_inverted+linear	5	0.966
Chr5B	Chr5B+Chr5B+Chr5B	5136	0.098	pchip_inverted+linear+pchip	3	0.928
Chr5D	Chr5D+Chr5D	5419	0.071	linear+pchip	2	0.979
Chr6A	Chr6A+Chr6A+Chr6A+Chr6A+Chr6A	3789	0.153	linear+linear+pchip_inverted+pchip_inverted+pchip_inverted	5	0.955
Chr6B	Chr6B+Chr6B+Chr6B+Chr6B+Chr6B	3952	0.367	linear+linear+pchip_inverted+pchip_inverted+pchip_inverted	5	0.835
Chr6D	Chr6D+Chr6D+Chr6D+Chr6D+Chr6D	3754	0.107	pchip_inverted+pchip_inverted+linear+pchip_inverted+pchip_inverted	5	0.96
Chr7A	Chr7A+Chr7A+Chr7A+Chr7A+Chr7A	5065	0.151	pchip_inverted+linear+pchip_inverted+linear+pchip_inverted	5	0.935
Chr7B	Chr7B	3683	0.204	linear	1	0.686
Chr7D	Chr7D+Chr7D+Chr7D+Chr7D	5266	0.106	pchip_inverted+pchip_inverted+linear+pchip_inverted	4	0.977
