gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	Mace_tgt_strand	Mace_tgt_midpoint	Mace_coverage	Mace_identity	segment
gene:TraesCS3B02G012200	Chr3B	5580174	5586213	+	5583193	Chr3B	21275341	21281248	+	21278294	0.983	0.945	collinear
gene:TraesCS3B02G012400	Chr3B	5599908	5601473	-	5600690	Chr3B	21298805	21300370	-	21299587	1.0	0.982	collinear
gene:TraesCS3B02G012500	Chr3B	5670628	5675430	+	5673029	Chr3B	21362135	21366654	+	21364394	0.997	0.985	collinear
gene:TraesCS3B02G012600	Chr3B	5694928	5698273	-	5696600	Chr3B	21467297	21470925	-	21469111	1.0	0.993	collinear
gene:TraesCS3B02G012700	Chr3B	5789746	5790925	-	5790335	Chr3B	21539463	21540638	-	21540050	1.0	1.0	collinear
gene:TraesCS3B02G012900	Chr3B	5850468	5851218	-	5850843	Chr3B	21596497	21597247	-	21596872	1.0	0.99	collinear
gene:TraesCS3B02G013100	Chr3B	5938428	5940219	+	5939323	Chr3B	20694250	20696041	+	20695145	1.0	0.998	collinear
gene:TraesCS3B02G013200	Chr3B	5949070	5952480	+	5950775	Chr3B	20704365	20707783	+	20706074	1.0	0.996	collinear
gene:TraesCS3B02G013300	Chr3B	5952761	5955519	-	5954140	Chr3B	20708064	20710819	-	20709441	0.998	0.994	collinear
gene:TraesCS3B02G013900	Chr3B	6043219	6043801	+	6043510	Chr3B	20750898	20751480	+	20751189	1.0	0.993	collinear
gene:TraesCS3B02G014000	Chr3B	6085506	6085867	+	6085686	Chr3B	20774481	20774842	+	20774661	1.0	0.992	collinear
gene:TraesCS3B02G014300	Chr3B	6117536	6118986	+	6118261	Chr3B	20927593	20929066	+	20928329	1.0	0.98	collinear
gene:TraesCS3B02G015100	Chr3B	6307476	6309708	-	6308592	Chr3B	20433412	20435641	+	20434526	0.998	0.983	collinear
gene:TraesCS3B02G015500	Chr3B	6389692	6396146	+	6392919	Chr3B	20423551	20429957	-	20426754	0.99	0.929	collinear
