gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	ArinaLrFor_tgt_strand	ArinaLrFor_tgt_midpoint	ArinaLrFor_coverage	ArinaLrFor_identity	segment
gene:TraesCS5D02G000100	Chr5D	93627	97954	+	95790	Chr5D	5620398	5624837	+	5622617	1.0	0.942	collinear
gene:TraesCS5D02G000200	Chr5D	145361	145693	+	145527	Chr5D	5672807	5673139	+	5672973	1.0	0.996	collinear
gene:TraesCS5D02G000300	Chr5D	360377	360709	+	360543	Chr5D	5886067	5886399	+	5886233	1.0	0.996	collinear
gene:TraesCS5D02G000400	Chr5D	388060	389487	-	388773	Chr5D	5913563	5914990	-	5914276	1.0	1.0	collinear
gene:TraesCS5D02G000500	Chr5D	554527	558722	-	556624	Chr5D	6079813	6084008	-	6081910	1.0	0.999	collinear
gene:TraesCS5D02G000600	Chr5D	563974	569774	+	566874	Chr5D	6089260	6095060	+	6092160	1.0	0.999	collinear
gene:TraesCS5D02G000800	Chr5D	932454	935468	+	933961	Chr5D	5456719	5459739	-	5458229	1.0	0.997	collinear
gene:TraesCS5D02G000900	Chr5D	935699	941610	-	938654	Chr5D	5450573	5456488	+	5453530	1.0	1.0	collinear
gene:TraesCS5D02G001000	Chr5D	1533333	1534376	+	1533854	Chr5D	4860225	4861268	-	4860746	1.0	1.0	collinear
gene:TraesCS5D02G001100	Chr5D	1540941	1542985	-	1541963	Chr5D	4851616	4853660	+	4852638	1.0	1.0	collinear
gene:TraesCS5D02G001200	Chr5D	1609486	1614664	+	1612075	Chr5D	4780375	4785553	-	4782964	1.0	1.0	collinear
gene:TraesCS5D02G001300	Chr5D	1710262	1717300	-	1713781	Chr5D	4678728	4685766	+	4682247	1.0	1.0	collinear
gene:TraesCS5D02G001400	Chr5D	1799796	1802729	+	1801262	Chr5D	4584688	4587621	-	4586154	1.0	1.0	collinear
gene:TraesCS5D02G001500	Chr5D	1863397	1865475	+	1864436	Chr5D	4523059	4524720	-	4523889	0.998	0.987	collinear
gene:TraesCS5D02G001600	Chr5D	1884703	1887402	-	1886052	Chr5D	4501568	4504267	+	4502917	1.0	1.0	collinear
gene:TraesCS5D02G001700	Chr5D	2120473	2120838	-	2120655	Chr5D	4270118	4270483	+	4270300	1.0	1.0	collinear
gene:TraesCS5D02G001800	Chr5D	2121540	2122331	+	2121935	Chr5D	4268625	4269416	-	4269020	1.0	1.0	collinear
gene:TraesCS5D02G001900	Chr5D	2135699	2142446	+	2139072	Chr5D	4248251	4254998	-	4251624	1.0	1.0	collinear
gene:TraesCS5D02G002000	Chr5D	2251351	2252995	-	2252173	Chr5D	4138117	4139761	+	4138939	1.0	1.0	collinear
gene:TraesCS5D02G002100	Chr5D	2286527	2288880	+	2287703	Chr5D	4102205	4104558	-	4103381	1.0	1.0	collinear
gene:TraesCS5D02G002200	Chr5D	2291803	2303188	+	2297495	Chr5D	4088321	4099282	-	4093801	1.0	1.0	collinear
gene:TraesCS5D02G002300	Chr5D	2511000	2512022	-	2511511	Chr5D	3891606	3892628	+	3892117	1.0	1.0	collinear
gene:TraesCS5D02G002400	Chr5D	2610483	2613387	+	2611935	Chr5D	3791479	3794146	-	3792812	0.914	0.914	collinear
gene:TraesCS5D02G002500	Chr5D	2660134	2666343	+	2663238	Chr5D	3738851	3745060	-	3741955	1.0	1.0	collinear
gene:TraesCS5D02G002600	Chr5D	2667802	2673002	-	2670402	Chr5D	3732192	3737392	+	3734792	1.0	0.999	collinear
gene:TraesCS5D02G002700	Chr5D	2674369	2678450	-	2676409	Chr5D	3726744	3730825	+	3728784	1.0	1.0	collinear
gene:TraesCS5D02G002800	Chr5D	2684313	2688683	+	2686498	Chr5D	3717090	3721460	-	3719275	1.0	1.0	collinear
gene:TraesCS5D02G002900	Chr5D	2691719	2696635	+	2694177	Chr5D	3709138	3714054	-	3711596	1.0	1.0	collinear
