gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	ArinaLrFor_tgt_strand	ArinaLrFor_tgt_midpoint	ArinaLrFor_coverage	ArinaLrFor_identity	segment
gene:TraesCS6A02G000100	Chr6A	56821	58390	+	57605	Chr6A	50562	52131	+	51346	1.0	0.996	collinear
gene:TraesCS6A02G000300	Chr6A	286171	288047	+	287109	Chr6A	148360	150235	+	149297	0.999	0.998	collinear
gene:TraesCS6A02G000400	Chr6A	288059	291030	+	289544	Chr6A	150247	153218	+	151732	1.0	0.999	collinear
gene:TraesCS6A02G000500	Chr6A	571479	575107	-	573293	Chr6A	1621166	1624828	+	1622997	0.97	0.952	collinear
gene:TraesCS6A02G000600	Chr6A	610042	615530	+	612786	Chr6A	1561416	1566795	-	1564105	0.992	0.941	collinear
gene:TraesCS6A02G000700	Chr6A	616773	620979	-	618876	Chr6A	1556827	1560682	+	1558754	0.999	0.966	collinear
gene:TraesCS6A02G000800	Chr6A	629428	634290	+	631859	Chr6A	1543235	1548093	-	1545664	0.992	0.975	collinear
gene:TraesCS6A02G000900	Chr6A	634738	636233	+	635485	Chr6A	1541193	1542741	-	1541967	1.0	0.979	collinear
gene:TraesCS6A02G001100	Chr6A	637766	644465	-	641115	Chr6A	1533055	1539606	+	1536330	0.982	0.944	collinear
gene:TraesCS6A02G001200	Chr6A	734214	735473	-	734843	Chr6A	1478315	1479226	+	1478770	0.996	0.979	collinear
gene:TraesCS6A02G001300	Chr6A	766648	769202	+	767925	Chr6A	1445814	1448135	-	1446974	0.908	0.902	collinear
gene:TraesCS6A02G001400	Chr6A	771942	774641	-	773291	Chr6A	1440150	1443073	+	1441611	1.0	0.999	collinear
gene:TraesCS6A02G001500	Chr6A	786731	788315	+	787523	Chr6A	1424962	1426545	-	1425753	0.999	0.993	collinear
gene:TraesCS6A02G001600	Chr6A	795316	801602	-	798459	Chr6A	1411980	1418466	+	1415223	0.99	0.942	collinear
gene:TraesCS6A02G001700	Chr6A	811604	816032	+	813818	Chr6A	1398108	1402532	-	1400320	1.0	0.997	collinear
gene:TraesCS6A02G001800	Chr6A	818204	825117	-	821660	Chr6A	1373337	1380255	+	1376796	0.998	0.994	collinear
gene:TraesCS6A02G002000	Chr6A	914925	915899	-	915412	Chr6A	1352630	1353604	+	1353117	0.987	0.96	collinear
gene:TraesCS6A02G002100	Chr6A	917908	918405	+	918156	Chr6A	1350144	1350641	-	1350392	1.0	0.996	collinear
gene:TraesCS6A02G002200	Chr6A	925885	926272	-	926078	Chr6A	1342371	1342758	+	1342564	1.0	1.0	collinear
gene:TraesCS6A02G002300	Chr6A	932264	933310	+	932787	Chr6A	1335324	1336370	-	1335847	1.0	0.993	collinear
gene:TraesCS6A02G002400	Chr6A	942509	947206	-	944857	Chr6A	1322338	1326829	+	1324583	0.987	0.981	collinear
gene:TraesCS6A02G002600	Chr6A	967860	968797	-	968328	Chr6A	1208494	1209430	+	1208962	1.0	0.993	collinear
gene:TraesCS6A02G002700	Chr6A	1029778	1031799	-	1030788	Chr6A	1146561	1148577	+	1147569	0.997	0.994	collinear
gene:TraesCS6A02G002800	Chr6A	1056980	1057585	+	1057282	Chr6A	1109676	1110281	-	1109978	1.0	0.993	collinear
gene:TraesCS6A02G002900	Chr6A	1062071	1063547	+	1062809	Chr6A	1103715	1105191	-	1104453	1.0	0.996	collinear
gene:TraesCS6A02G003000	Chr6A	1090568	1092586	+	1091577	Chr6A	1056986	1059046	-	1058016	1.0	0.97	collinear
gene:TraesCS6A02G003100	Chr6A	1267353	1271786	-	1269569	Chr6A	854796	859222	-	857009	0.994	0.974	collinear
gene:TraesCS6A02G003300	Chr6A	1494577	1504714	-	1499645	Chr6A	1701537	1711651	-	1706594	0.99	0.967	collinear
gene:TraesCS6A02G003500	Chr6A	1624440	1625144	+	1624792	Chr6A	1873215	1874299	+	1873757	0.991	0.978	collinear
gene:TraesCS6A02G003700	Chr6A	1659193	1668144	-	1663668	Chr6A	1908768	1917685	-	1913226	1.0	0.968	collinear
gene:TraesCS6A02G003800	Chr6A	1671874	1675422	+	1673648	Chr6A	1934992	1938327	+	1936659	0.994	0.979	collinear
gene:TraesCS6A02G003900	Chr6A	1716008	1717197	+	1716602	Chr6A	1968064	1969304	+	1968684	0.999	0.934	collinear
gene:TraesCS6A02G004000	Chr6A	1730409	1732051	-	1731230	Chr6A	1975023	1976632	-	1975827	0.976	0.959	collinear
gene:TraesCS6A02G004200	Chr6A	1808051	1814286	+	1811168	Chr6A	2080801	2082084	+	2081442	0.976	0.933	collinear
gene:TraesCS6A02G004500	Chr6A	1877157	1883101	-	1880129	Chr6A	2089143	2095340	-	2092241	0.991	0.904	collinear
gene:TraesCS6A02G004600	Chr6A	1885540	1889805	+	1887672	Chr6A	2097576	2102347	+	2099961	0.995	0.961	collinear
gene:TraesCS6A02G004800	Chr6A	1900642	1902822	+	1901732	Chr6A	2124909	2127082	+	2125995	0.993	0.959	collinear
gene:TraesCS6A02G004900	Chr6A	1921601	1924313	+	1922957	Chr6A	2131239	2133927	+	2132583	0.989	0.975	collinear
gene:TraesCS6A02G005000	Chr6A	1942409	1948879	+	1945644	Chr6A	2146551	2153007	+	2149779	0.999	0.967	collinear
gene:TraesCS6A02G005100	Chr6A	1960642	1961854	+	1961248	Chr6A	2171170	2172386	+	2171778	1.0	0.988	collinear
gene:TraesCS6A02G005300	Chr6A	1985120	1987834	+	1986477	Chr6A	2184986	2187662	+	2186324	0.964	0.918	collinear
gene:TraesCS6A02G005400	Chr6A	2130377	2133736	+	2132056	Chr6A	2407390	2410616	+	2409003	1.0	0.988	collinear
gene:TraesCS6A02G005500	Chr6A	2144869	2145129	-	2144999	Chr6A	2421801	2422061	-	2421931	1.0	1.0	collinear
gene:TraesCS6A02G005600	Chr6A	2177764	2180753	-	2179258	Chr6A	2466385	2468839	-	2467612	0.996	0.977	collinear
gene:TraesCS6A02G005700	Chr6A	2221023	2222302	-	2221662	Chr6A	2511414	2512692	-	2512053	1.0	0.997	collinear
gene:TraesCS6A02G005800	Chr6A	2232270	2234509	-	2233389	Chr6A	2543177	2545383	-	2544280	1.0	0.998	collinear
gene:TraesCS6A02G005900	Chr6A	2247617	2248544	-	2248080	Chr6A	2558299	2559226	-	2558762	1.0	0.994	collinear
gene:TraesCS6A02G006000	Chr6A	2263473	2263835	-	2263654	Chr6A	2570971	2571332	-	2571151	0.996	0.988	collinear
gene:TraesCS6A02G006100	Chr6A	2264870	2265247	-	2265058	Chr6A	2572368	2572745	-	2572556	1.0	1.0	collinear
gene:TraesCS6A02G006200	Chr6A	2273724	2277122	-	2275423	Chr6A	2581265	2584658	-	2582961	1.0	0.994	collinear
gene:TraesCS6A02G006400	Chr6A	2397497	2403046	+	2400271	Chr6A	2637135	2642537	+	2639836	0.984	0.981	collinear
