cs_chr	cs_start	cs_end	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	n_anchors	mean_identity
Chr5A	5710217	7505568	Chr5A	1066111	2971819	27	0.9910740740740741
Chr5A	389056643	393473787	Chr5A	398851081	403109592	28	0.9960000000000002
Chr5A	398885905	402162710	Chr5A	390251670	393501748	25	0.9987999999999999
Chr5A	693435	4694204	Chr5A	3032335	7136809	57	0.9938596491228071
Chr5A	7620135	60528080	Chr5A	8077217	62904608	452	0.9968296460176991
Chr5A	63377052	151734470	Chr5A	66117060	153533041	406	0.9988300492610839
Chr5A	155555039	159534199	Chr5A	157401543	161396589	13	0.9998461538461539
Chr5A	161914114	170848678	Chr5A	163765088	172693776	23	0.9998260869565219
Chr5A	173117926	180994113	Chr5A	174961400	182796741	13	0.9995384615384615
Chr5A	183430057	185651119	Chr5A	185215619	187414907	4	1.0
Chr5A	191038029	199222973	Chr5A	192739549	200881814	16	0.998875
Chr5A	203479442	222599127	Chr5A	205122288	224232531	33	0.9999090909090909
Chr5A	224689467	234459206	Chr5A	226315324	235517077	24	0.999875
Chr5A	239530077	241763983	Chr5A	243235582	245462233	5	1.0
Chr5A	298806315	388640539	Chr5A	300250004	389724727	523	0.9990420650095603
Chr5A	394182240	398781337	Chr5A	393605493	398168164	53	0.9986037735849057
Chr5A	402540994	423746112	Chr5A	403370657	424312887	113	0.9965663716814159
Chr5A	426537435	709195222	Chr5A	425254557	710099676	3200	0.9953028125
