cs_chr	cs_start	cs_end	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	n_anchors	mean_identity
Chr3B	213691	12319238	Chr3B	87168	18178175	195	0.987676923076923
Chr3B	14703147	85340142	Chr3B	18326963	98757148	722	0.9924916897506926
Chr3B	87718232	150155819	Chr3B	101124041	165827006	345	0.9949507246376813
Chr3B	152210057	183477859	Chr3B	167131190	205062906	164	0.9960670731707318
Chr3B	186094681	189489570	Chr3B	202457703	209327739	21	0.9962380952380953
Chr3B	203560246	204299053	Chr3B	229011546	230210570	11	0.9987272727272726
Chr3B	213710039	214561974	Chr3B	225675574	227235636	9	0.9951111111111111
Chr3B	221984659	230195021	Chr3B	250721428	260142516	42	0.9957142857142858
Chr3B	235855911	277099960	Chr3B	261679376	311834629	174	0.9954655172413794
Chr3B	283596077	284678121	Chr3B	318729915	319872298	4	0.9935
Chr3B	289595308	296187942	Chr3B	320062445	330702945	7	0.9915714285714287
Chr3B	299132814	317625373	Chr3B	334195258	354390390	24	0.9962916666666667
Chr3B	322293448	338599491	Chr3B	359076198	381299043	24	0.9939583333333334
Chr3B	340796436	355438414	Chr3B	373901092	399839042	25	0.99524
Chr3B	359225753	367477711	Chr3B	400095455	408546250	17	0.9965882352941177
Chr3B	370150864	463203895	Chr3B	412565234	507537893	468	0.9971538461538462
Chr3B	471800521	475828819	Chr3B	508278962	513715709	25	0.9937599999999999
Chr3B	481620629	516001137	Chr3B	514571426	568857168	189	0.9983915343915344
Chr3B	518913010	830321333	Chr3B	573147226	890769380	2645	0.9957217391304348
