cs_chr	cs_start	cs_end	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	n_anchors	mean_identity
Chr1A	1145133	159522669	Chr1A	2647053	163460751	1076	0.9933122676579926
Chr1A	161671479	177381882	Chr1A	165640833	181264342	28	0.9997142857142858
Chr1A	179530042	182122609	Chr1A	183328000	185903287	6	0.9994999999999999
Chr1A	184934985	193518233	Chr1A	188704885	197259218	12	0.9999166666666667
Chr1A	200578799	202086777	Chr1A	204413015	205899796	5	1.0
Chr1A	204319371	209358469	Chr1A	208126458	213109698	7	0.9995714285714286
Chr1A	212017564	410154980	Chr1A	215699985	417516638	920	0.9961826086956521
Chr1A	412459137	420515127	Chr1A	419908198	428446086	23	0.9965652173913043
Chr1A	423163477	514701450	Chr1A	430264004	521195503	819	0.996956043956044
Chr1A	517379925	521912453	Chr1A	525079481	529633593	61	0.9963770491803278
Chr1A	526622652	547507742	Chr1A	533851310	554493783	304	0.9940328947368422
Chr1A	557425263	562118438	Chr1A	565844622	570545435	67	0.9940746268656716
Chr1A	571987978	593997588	Chr1A	580730008	602557852	308	0.9942759740259743
