gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	ArinaLrFor_tgt_strand	ArinaLrFor_tgt_midpoint	ArinaLrFor_coverage	ArinaLrFor_identity	segment
gene:TraesCS7B02G000100	Chr7B	32906	36770	-	34838	Chr5B	419929317	419933181	-	419931249	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G000200	Chr7B	43388	51239	-	47313	Chr5B	419939696	419947549	-	419943622	1.0	0.999	rearrangement:Chr7B_block1
gene:TraesCS7B02G000300	Chr7B	113161	115194	+	114177	Chr5B	420009467	420011500	+	420010483	1.0	0.999	rearrangement:Chr7B_block1
gene:TraesCS7B02G000400	Chr7B	115309	119981	-	117645	Chr5B	420011615	420016287	-	420013951	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G000500	Chr7B	120989	122254	+	121621	Chr5B	420017296	420018562	+	420017929	1.0	0.999	rearrangement:Chr7B_block1
gene:TraesCS7B02G000600	Chr7B	222384	224848	+	223616	Chr5B	420126963	420129126	+	420128044	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G000700	Chr7B	229098	230197	+	229647	Chr5B	420133374	420134473	+	420133923	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G000800	Chr7B	230612	231250	+	230931	Chr5B	420134888	420135526	+	420135207	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G000900	Chr7B	257266	259314	+	258290	Chr5B	420160924	420162834	+	420161879	0.932	0.927	rearrangement:Chr7B_block1
gene:TraesCS7B02G001000	Chr7B	261171	262954	+	262062	Chr5B	420164691	420166474	+	420165582	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G001100	Chr7B	263907	265477	+	264692	Chr5B	420167427	420168997	+	420168212	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G001200	Chr7B	267438	269851	-	268644	Chr5B	420170974	420173387	-	420172180	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G001300	Chr7B	287169	292385	+	289777	Chr5B	420190617	420195833	+	420193225	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G001400	Chr7B	421705	425790	+	423747	Chr5B	420324699	420328784	+	420326741	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G001500	Chr7B	426179	431580	-	428879	Chr5B	420329173	420334574	-	420331873	1.0	0.999	rearrangement:Chr7B_block1
gene:TraesCS7B02G001600	Chr7B	603142	606645	+	604893	Chr5B	420506425	420509928	+	420508176	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G001700	Chr7B	640963	642786	+	641874	Chr5B	420543714	420545537	+	420544625	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G001800	Chr7B	672871	673573	-	673222	Chr5B	420575031	420575733	-	420575382	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G002000	Chr7B	781958	782812	-	782385	Chr5B	420684636	420685490	-	420685063	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G002100	Chr7B	801066	801998	+	801532	Chr5B	420703683	420704615	+	420704149	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G002200	Chr7B	848013	850214	+	849113	Chr5B	420750206	420752407	+	420751306	1.0	0.999	rearrangement:Chr7B_block1
gene:TraesCS7B02G002300	Chr7B	882348	891020	-	886684	Chr5B	420789678	420800218	-	420794948	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G002400	Chr7B	1020557	1021684	+	1021120	Chr5B	420931636	420932763	+	420932199	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G002600	Chr7B	1037429	1039865	-	1038647	Chr5B	420948507	420950943	-	420949725	1.0	0.999	rearrangement:Chr7B_block1
gene:TraesCS7B02G002700	Chr7B	1065102	1069333	-	1067217	Chr5B	420976094	420980325	-	420978209	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G002800	Chr7B	1154155	1155583	+	1154869	Chr5B	421066281	421067709	+	421066995	1.0	1.0	rearrangement:Chr7B_block1
