cs_chr	cs_start	cs_end	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	n_anchors	mean_identity
Chr2A	257781341	258353437	Chr2A	252867789	253456948	4	0.997
Chr2A	260548731	262579565	Chr2A	248455511	250553131	7	0.9995714285714286
Chr2A	265274570	273294992	Chr2A	238830632	247242744	16	0.99275
Chr2A	275352399	278919157	Chr2A	233124757	236649226	18	0.9962777777777778
Chr2A	342544978	348246088	Chr2A	355992387	361610819	10	0.9953
Chr2A	352426321	358948890	Chr2A	344806819	352101732	10	0.9964999999999999
Chr2A	360420161	361383116	Chr2A	367807391	368808413	6	0.9975
Chr2A	254112	233473266	Chr2A	257743	232299066	2099	0.996123868508814
Chr2A	255910505	256209030	Chr2A	254983002	255258360	4	0.998
Chr2A	278994740	281746218	Chr2A	277082058	279858757	5	0.9986
Chr2A	283944564	286439768	Chr2A	282126831	284726043	5	0.9966000000000002
Chr2A	288988301	293951072	Chr2A	287246471	292083309	7	0.9911428571428572
Chr2A	300399162	306682759	Chr2A	299004014	305435594	6	0.9956666666666667
Chr2A	309689781	315039543	Chr2A	308433047	315177123	7	0.9908571428571429
Chr2A	317947462	324619894	Chr2A	318029334	324797476	12	0.9951666666666666
Chr2A	329696283	338546598	Chr2A	327302049	335775298	34	0.9926470588235294
Chr2A	340608829	341927845	Chr2A	342988437	345363298	3	0.9983333333333334
Chr2A	349721260	350719865	Chr2A	353489192	354511188	4	0.9965
Chr2A	364470917	366720526	Chr2A	362936807	365350711	6	0.9981666666666666
Chr2A	369216145	395710262	Chr2A	371237508	397258451	90	0.9965333333333332
Chr2A	398464297	398971793	Chr2A	401731885	402208987	4	0.99525
Chr2A	405468040	461702290	Chr2A	406883505	462931064	190	0.9964000000000001
Chr2A	463730531	486499474	Chr2A	464929407	487536115	75	0.9962666666666666
Chr2A	488847564	547776466	Chr2A	489866307	547827779	313	0.9957316293929712
Chr2A	563202760	567735681	Chr2A	564269937	568825808	33	0.9981212121212122
Chr2A	582840575	761027623	Chr2A	582662651	763001368	1957	0.9961895758814513
Chr2A	770106171	775070059	Chr2A	770738547	775503641	58	0.984448275862069
Chr2A	549288612	562982979	Chr2A	569036175	582327240	101	0.9947326732673267
Chr2A	775165713	780777724	Chr2A	763139866	770637658	89	0.9833258426966293
