gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	ArinaLrFor_tgt_strand	ArinaLrFor_tgt_midpoint	ArinaLrFor_coverage	ArinaLrFor_identity	segment
gene:TraesCS7A02G021100	Chr7A	8634427	8637728	+	8636077	Chr7A	5354454	5357768	-	5356111	1.0	0.983	rearrangement:Chr7A_block1
gene:TraesCS7A02G021110	Chr7A	8670530	8674724	+	8672627	Chr7A	5275901	5280414	-	5278157	0.995	0.909	rearrangement:Chr7A_block1
gene:TraesCS7A02G021900	Chr7A	8802585	8803740	-	8803162	Chr7A	5195187	5196342	+	5195764	1.0	0.993	rearrangement:Chr7A_block1
gene:TraesCS7A02G022000	Chr7A	8822845	8824191	+	8823518	Chr7A	5114339	5115538	-	5114938	0.957	0.91	rearrangement:Chr7A_block1
gene:TraesCS7A02G022500	Chr7A	8895256	8899379	-	8897317	Chr7A	4809548	4813646	+	4811597	0.994	0.983	rearrangement:Chr7A_block1
gene:TraesCS7A02G022600	Chr7A	8914366	8917369	+	8915867	Chr7A	4791341	4794341	-	4792841	1.0	0.995	rearrangement:Chr7A_block1
gene:TraesCS7A02G022700	Chr7A	8931899	8938966	-	8935432	Chr7A	4772200	4777368	+	4774784	0.997	0.921	rearrangement:Chr7A_block1
gene:TraesCS7A02G022900	Chr7A	9007919	9011947	+	9009933	Chr7A	4717899	4720706	-	4719302	0.981	0.976	rearrangement:Chr7A_block1
gene:TraesCS7A02G023100	Chr7A	9108309	9110338	-	9109323	Chr7A	4634033	4636063	+	4635048	1.0	0.996	rearrangement:Chr7A_block1
gene:TraesCS7A02G023142	Chr7A	9158546	9159031	-	9158788	Chr7A	4579765	4580250	+	4580007	1.0	0.993	rearrangement:Chr7A_block1
gene:TraesCS7A02G023200	Chr7A	9262658	9263762	-	9263210	Chr7A	3918843	3919947	-	3919395	1.0	0.99	rearrangement:Chr7A_block1
gene:TraesCS7A02G023300	Chr7A	9318501	9319158	-	9318829	Chr7A	3940616	3941273	-	3940944	1.0	0.972	rearrangement:Chr7A_block1
gene:TraesCS7A02G023400	Chr7A	9327923	9335785	+	9331854	Chr7A	3949888	3957739	+	3953813	0.997	0.991	rearrangement:Chr7A_block1
gene:TraesCS7A02G023600	Chr7A	9364144	9364776	+	9364460	Chr7A	3982000	3982632	+	3982316	1.0	0.99	rearrangement:Chr7A_block1
gene:TraesCS7A02G023700	Chr7A	9381815	9383495	+	9382655	Chr7A	4008730	4010410	+	4009570	0.987	0.969	rearrangement:Chr7A_block1
gene:TraesCS7A02G023800	Chr7A	9411200	9413168	+	9412184	Chr7A	4031352	4033209	+	4032280	0.936	0.926	rearrangement:Chr7A_block1
gene:TraesCS7A02G024500	Chr7A	9688722	9694491	-	9691606	Chr7A	3494798	3500562	+	3497680	1.0	0.997	rearrangement:Chr7A_block1
gene:TraesCS7A02G024600	Chr7A	9719138	9720574	-	9719856	Chr7A	3476812	3478195	+	3477503	0.952	0.931	rearrangement:Chr7A_block1
gene:TraesCS7A02G024800	Chr7A	9751973	9753961	+	9752967	Chr7A	3441684	3443669	-	3442676	1.0	0.997	rearrangement:Chr7A_block1
gene:TraesCS7A02G024900	Chr7A	9754538	9756808	+	9755673	Chr7A	3438846	3441107	-	3439976	0.997	0.992	rearrangement:Chr7A_block1
gene:TraesCS7A02G025000	Chr7A	9756977	9757735	+	9757356	Chr7A	3437919	3438677	-	3438298	1.0	0.994	rearrangement:Chr7A_block1
gene:TraesCS7A02G025100	Chr7A	9997094	9998219	+	9997656	Chr7A	3230689	3231790	-	3231239	0.978	0.96	rearrangement:Chr7A_block1
gene:TraesCS7A02G025400	Chr7A	10083381	10083869	+	10083625	Chr7A	3144860	3145346	-	3145103	0.997	0.983	rearrangement:Chr7A_block1
gene:TraesCS7A02G025500	Chr7A	10090817	10092055	-	10091436	Chr7A	3122582	3123820	+	3123201	1.0	0.993	rearrangement:Chr7A_block1
gene:TraesCS7A02G025600	Chr7A	10156649	10157671	-	10157160	Chr7A	2954209	2955234	+	2954721	1.0	0.986	rearrangement:Chr7A_block1
gene:TraesCS7A02G025700	Chr7A	10168765	10169958	-	10169361	Chr7A	2941613	2942806	+	2942209	1.0	0.996	rearrangement:Chr7A_block1
gene:TraesCS7A02G025800	Chr7A	10191642	10196597	+	10194119	Chr7A	2932294	2937080	-	2934687	0.954	0.916	rearrangement:Chr7A_block1
