cs_chr	cs_start	cs_end	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	n_anchors	mean_identity
Chr7B	1205882	169470795	Chr5B	299872717	480691259	1234	0.9964311183144247
Chr7B	171985598	277208196	Chr5B	193620041	297425081	407	0.9977665847665848
Chr7B	281386105	284959499	Chr5B	186374598	189929603	6	1.0
Chr7B	289163500	293981562	Chr5B	174952454	179729993	9	0.9996666666666667
Chr7B	297390309	307364806	Chr5B	162396071	172226318	19	0.9998421052631581
Chr7B	310413787	312346354	Chr5B	160264221	162158548	4	0.99975
Chr7B	327143702	337641571	Chr5B	314108022	324536172	64	0.9983124999999999
Chr7B	325467505	326394675	Chr7B	414360004	415290097	3	1.0
Chr7B	337929275	340640628	Chr7B	400669661	413262722	8	0.9984999999999999
Chr7B	346676193	389109218	Chr7B	362003324	411510494	148	0.9989864864864865
Chr7B	391956637	405970176	Chr7B	345184531	359121935	52	0.9978269230769231
Chr7B	408568404	419042240	Chr7B	332094158	342605342	45	0.9994
Chr7B	421064524	541167218	Chr7B	210531052	330098329	777	0.99888416988417
Chr7B	543188151	666617027	Chr7B	85655955	208469651	825	0.9940424242424242
Chr7B	672764839	674591851	Chr7B	82101624	83936289	17	0.9999411764705883
Chr7B	678636776	719120281	Chr7B	33833789	75732930	403	0.9913771712158809
Chr7B	721807476	736138668	Chr7B	16663988	33076103	122	0.9883278688524589
Chr7B	738144856	742590334	Chr7B	11488266	21114021	44	0.9900000000000001
Chr7B	744922505	749571967	Chr7B	5161329	10357755	50	0.9953400000000001
