cs_chr	cs_start	cs_end	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	n_anchors	mean_identity
Chr2B	7436144	11086037	Chr2B	44319	4073168	40	0.9754999999999999
Chr2B	13314383	15881998	Chr2B	7379641	9926805	35	0.9916571428571428
Chr2B	272550652	291601839	Chr2B	302626397	321749363	27	0.999962962962963
Chr2B	298577536	303097333	Chr2B	291277854	295788144	5	0.9998000000000001
Chr2B	305321036	318205778	Chr2B	276118532	289089774	16	0.9998125
Chr2B	359132546	361286666	Chr2B	384193296	386315438	15	1.0
Chr2B	363342663	364948775	Chr2B	375892848	377485900	9	0.9998888888888889
Chr2B	10698	1250508	Chr2B	1150306	7128095	12	0.984
Chr2B	3290835	7148018	Chr2B	4221516	13401622	67	0.9804029850746269
Chr2B	11180525	13238179	Chr2B	10080728	12504712	29	0.9865172413793103
Chr2B	15760877	20741228	Chr2B	14844909	22669943	71	0.9866760563380282
Chr2B	23534830	202920401	Chr2B	23518732	207300521	1510	0.9939238410596025
Chr2B	205644786	240314058	Chr2B	207398817	242032941	204	0.9972450980392157
Chr2B	242536523	267901676	Chr2B	244499293	274944062	126	0.9985793650793651
Chr2B	292450092	298326046	Chr2B	296033407	301786910	13	0.9999230769230769
Chr2B	320343927	333044217	Chr2B	327310089	339943812	21	0.999904761904762
Chr2B	335510269	342279112	Chr2B	342391736	349560815	9	1.0
Chr2B	346670378	358774644	Chr2B	352489981	368224613	40	0.9990249999999999
Chr2B	366015710	374802272	Chr2B	371244360	384021753	40	0.9991
Chr2B	379832912	801254636	Chr2B	379577156	808798280	3051	0.993469682071452
