cs_chr	cs_start	cs_end	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	n_anchors	mean_identity
Chr3A	43283	1921282	Chr3A	341862	2460998	23	0.9720434782608696
Chr3A	6895728	128718501	Chr3A	2594011	135332920	1282	0.996021840873635
Chr3A	130835529	181088605	Chr3A	137432370	187012680	214	0.9982102803738317
Chr3A	184214632	251342423	Chr3A	190131590	256990830	205	0.9995658536585366
Chr3A	259064196	267056348	Chr3A	264635512	272607718	12	0.9978333333333333
Chr3A	269215500	273159995	Chr3A	274764190	278671652	6	0.9996666666666667
Chr3A	275284207	283103162	Chr3A	280806900	288570650	7	0.9998571428571428
Chr3A	288539387	293589663	Chr3A	294564010	299588885	6	0.9990000000000001
Chr3A	295949198	301132199	Chr3A	301929030	307081768	6	1.0
Chr3A	303548410	314620161	Chr3A	309469315	320393057	17	0.9996470588235294
Chr3A	321109384	337881732	Chr3A	328684527	345792558	30	0.9995333333333334
Chr3A	340259729	343231466	Chr3A	348193363	351128307	8	0.99625
Chr3A	345871376	349014829	Chr3A	353769475	356894830	6	0.9998333333333335
Chr3A	351126951	528599904	Chr3A	359009394	535233464	873	0.9984879725085911
Chr3A	533075051	545153837	Chr3A	535349925	548176648	79	0.9919999999999999
Chr3A	556260652	750618114	Chr3A	552529348	752590940	2080	0.9957745192307693
Chr3A	529615728	530496965	Chr3A	550125950	551033278	10	0.9928000000000001
Chr3A	531078912	532936182	Chr3A	547633047	549520824	24	0.9949166666666667
Chr3A	545257989	555697701	Chr3A	103551859	113878744	76	0.9965526315789474
