gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	ArinaLrFor_tgt_strand	ArinaLrFor_tgt_midpoint	ArinaLrFor_coverage	ArinaLrFor_identity	segment
gene:TraesCS3D02G000200	Chr3D	328329	328952	+	328640	Chr3D	581370	581987	-	581678	0.99	0.948	collinear
gene:TraesCS3D02G000500	Chr3D	390450	391973	-	391211	Chr3D	541624	543112	+	542368	0.96	0.902	collinear
gene:TraesCS3D02G000800	Chr3D	494126	496511	+	495318	Chr3D	453170	455417	-	454293	0.993	0.927	collinear
gene:TraesCS3D02G001200	Chr3D	686714	687105	-	686909	Chr3D	423795	424196	+	423995	1.0	0.94	collinear
gene:TraesCS3D02G001400	Chr3D	707880	709355	+	708617	Chr3D	233356	234825	-	234090	0.991	0.933	collinear
gene:TraesCS3D02G001600	Chr3D	774041	778387	-	776214	Chr3D	215211	219572	+	217391	0.966	0.912	collinear
gene:TraesCS3D02G001800	Chr3D	853402	855095	+	854248	Chr3D	109065	110749	-	109907	0.994	0.953	collinear
gene:TraesCS3D02G001900	Chr3D	865996	870567	-	868281	Chr3D	98644	103781	+	101212	0.988	0.91	collinear
gene:TraesCS3D02G002000	Chr3D	925863	930264	-	928063	Chr3D	10986	15470	+	13228	0.97	0.92	collinear
gene:TraesCS3D02G052200	Chr3D	21768581	21769838	-	21769209	Chr3D	20334755	20336012	-	20335383	1.0	1.0	collinear
gene:TraesCS3D02G052300	Chr3D	21792841	21795028	+	21793934	Chr3D	20359015	20361202	+	20360108	1.0	1.0	collinear
gene:TraesCS3D02G052400	Chr3D	21888438	21889499	+	21888968	Chr3D	20456364	20457425	+	20456894	1.0	1.0	collinear
gene:TraesCS3D02G052600	Chr3D	21896070	21896213	-	21896141	Chr3D	20463746	20463889	-	20463817	1.0	1.0	collinear
gene:TraesCS3D02G052700	Chr3D	21896318	21896434	-	21896376	Chr3D	20463994	20464110	-	20464052	1.0	1.0	collinear
gene:TraesCS3D02G052800	Chr3D	21896587	21896838	-	21896712	Chr3D	20464263	20464514	-	20464388	1.0	1.0	collinear
gene:TraesCS3D02G052900	Chr3D	21897990	21898085	+	21898037	Chr3D	20465666	20465761	+	20465713	1.0	1.0	collinear
gene:TraesCS3D02G053000	Chr3D	21899696	21899896	+	21899796	Chr3D	20467372	20467572	+	20467472	1.0	1.0	collinear
