cs_chr	cs_start	cs_end	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	n_anchors	mean_identity
Chr4D	410678	140903099	Chr4D	568749	141241665	1423	0.9989536191145467
Chr4D	143579930	155648423	Chr4D	143900076	155832047	16	0.9968125
Chr4D	163412513	183387226	Chr4D	163582534	183430049	26	0.9998076923076924
Chr4D	188710899	192736636	Chr4D	190150903	194143085	6	0.9998333333333332
Chr4D	195017915	198583229	Chr4D	196412334	199951219	7	0.9994285714285714
Chr4D	201443437	204732235	Chr4D	203176340	206932193	6	1.0
Chr4D	206901645	212157624	Chr4D	208078093	213320897	21	0.9990952380952381
Chr4D	214312396	228145178	Chr4D	215456085	229211006	23	0.999521739130435
Chr4D	230482531	238626311	Chr4D	231418137	239696819	10	0.9995
Chr4D	240933419	248933627	Chr4D	241983382	250348402	19	0.9994210526315788
Chr4D	251524682	256552996	Chr4D	252920715	257928379	7	0.9951428571428572
Chr4D	258897131	261254698	Chr4D	260245114	262646448	6	1.0
Chr4D	263946972	268074619	Chr4D	265330326	269410386	7	0.9982857142857142
Chr4D	270654719	329311457	Chr4D	271985959	330442616	242	0.9991528925619836
Chr4D	331638064	375735889	Chr4D	332748000	376690883	303	0.9998283828382838
Chr4D	377828182	410407878	Chr4D	378738121	412369808	237	0.9987130801687764
Chr4D	412715801	505554072	Chr4D	414857568	508841769	1094	0.9990457038391226
