gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	ArinaLrFor_tgt_strand	ArinaLrFor_tgt_midpoint	ArinaLrFor_coverage	ArinaLrFor_identity	segment
gene:TraesCS4A02G059000	Chr4A	54106535	54110051	-	54108293	Chr4A	67133784	67137300	+	67135542	1.0	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A02G059100	Chr4A	54404601	54406169	-	54405385	Chr4A	66848781	66850349	+	66849565	1.0	0.999	rearrangement:Chr4A_block1
gene:TraesCS4A02G059200	Chr4A	55377186	55380060	-	55378623	Chr4A	65844195	65847065	+	65845630	1.0	0.996	rearrangement:Chr4A_block1
gene:TraesCS4A02G059300	Chr4A	55389614	55398958	-	55394286	Chr4A	65827105	65835334	+	65831219	1.0	0.999	rearrangement:Chr4A_block1
gene:TraesCS4A02G059400	Chr4A	55572600	55575346	+	55573973	Chr4A	65628351	65631097	-	65629724	1.0	0.996	rearrangement:Chr4A_block1
gene:TraesCS4A02G059500	Chr4A	55912521	55919370	+	55915945	Chr4A	65262416	65269264	-	65265840	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A02G059600	Chr4A	56143732	56145991	+	56144861	Chr4A	65049129	65051386	-	65050257	1.0	0.997	rearrangement:Chr4A_block1
gene:TraesCS4A02G059700	Chr4A	56251413	56254420	-	56252916	Chr4A	64933233	64936239	+	64934736	0.999	0.995	rearrangement:Chr4A_block1
gene:TraesCS4A02G059800	Chr4A	56260273	56262853	+	56261563	Chr4A	64924766	64927344	-	64926055	0.998	0.996	rearrangement:Chr4A_block1
gene:TraesCS4A02G059900	Chr4A	56266262	56271389	-	56268825	Chr4A	64916230	64921356	+	64918793	0.999	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A02G060000	Chr4A	56471847	56483645	-	56477746	Chr4A	64703333	64714819	+	64709076	1.0	0.997	rearrangement:Chr4A_block1
gene:TraesCS4A02G060100	Chr4A	56496985	56501161	-	56499073	Chr4A	64686700	64690885	+	64688792	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A02G060200	Chr4A	56501607	56506002	-	56503804	Chr4A	64681860	64686254	+	64684057	0.999	0.997	rearrangement:Chr4A_block1
gene:TraesCS4A02G060300	Chr4A	56509445	56511293	-	56510369	Chr4A	64676569	64678417	+	64677493	1.0	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A02G077400	Chr4A	76618575	76624664	+	76621619	Chr4A	69609866	69615974	-	69612920	1.0	0.992	rearrangement:Chr4A_block1
gene:TraesCS4A02G077500	Chr4A	76626034	76629001	+	76627517	Chr4A	69605354	69608482	-	69606918	0.998	0.996	rearrangement:Chr4A_block1
gene:TraesCS4A02G077600	Chr4A	76923441	76932515	+	76927978	Chr4A	69308559	69317625	-	69313092	1.0	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A02G077700	Chr4A	76933420	76940843	+	76937131	Chr4A	69299926	69307432	-	69303679	1.0	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A02G077800	Chr4A	76941203	76943861	-	76942532	Chr4A	69296908	69299566	+	69298237	1.0	0.996	rearrangement:Chr4A_block1
gene:TraesCS4A02G077900	Chr4A	77090945	77096307	+	77093626	Chr4A	69155113	69160475	-	69157794	1.0	0.99	rearrangement:Chr4A_block1
gene:TraesCS4A02G078000	Chr4A	77439580	77445885	+	77442732	Chr4A	68812511	68818804	-	68815657	1.0	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A02G078100	Chr4A	78159723	78163317	-	78161520	Chr4A	68074352	68077945	+	68076148	1.0	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A02G078200	Chr4A	78180029	78180412	-	78180220	Chr4A	68057378	68057761	+	68057569	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A02G078300	Chr4A	78180576	78182459	-	78181517	Chr4A	68055331	68057214	+	68056272	1.0	0.996	rearrangement:Chr4A_block1
gene:TraesCS4A02G078400	Chr4A	78250259	78253335	+	78251797	Chr4A	67984904	67987979	-	67986441	0.998	0.996	rearrangement:Chr4A_block1
