cs_chr	cs_start	cs_end	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	n_anchors	mean_identity
Chr6A	57605	162912229	Chr6A	51346	163721729	1466	0.9942496589358799
Chr6A	166503285	172174207	Chr6A	167271120	172903982	30	0.9993666666666667
Chr6A	174450789	233957452	Chr6A	175165260	234092664	202	0.9985594059405941
Chr6A	241266065	242194840	Chr6A	241216439	242055170	3	0.9946666666666667
Chr6A	248542355	252837117	Chr6A	248342823	252570206	8	0.9962500000000001
Chr6A	254937051	261705155	Chr6A	254791997	261432003	20	0.9944500000000002
Chr6A	263891514	273262995	Chr6A	263634100	273195978	22	0.9966363636363635
Chr6A	276303162	290261504	Chr6A	276244151	293698642	19	0.998
Chr6A	297672165	317154843	Chr6A	299642145	319287897	22	0.9978636363636363
Chr6A	321270304	324290097	Chr6A	323349409	326389567	8	0.9974999999999999
Chr6A	326393120	330049812	Chr6A	328491405	332124940	6	0.9968333333333333
Chr6A	332183472	344185082	Chr6A	334166947	346458763	16	0.9934375
Chr6A	346572929	346594380	Chr6A	348866273	348890544	3	0.999
Chr6A	351830716	353340072	Chr6A	354246103	355726623	4	0.99775
Chr6A	355403353	526117584	Chr6A	357670000	527468320	858	0.9985792540792542
Chr6A	528949160	609565438	Chr6A	527500755	609067355	980	0.9953224489795918
Chr6A	612568956	617687998	Chr6A	610286664	617082587	101	0.9803267326732671
Chr6A	609884887	612330313	Chr6A	617317064	619746586	57	0.9941403508771929
