gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	ArinaLrFor_tgt_strand	ArinaLrFor_tgt_midpoint	ArinaLrFor_coverage	ArinaLrFor_identity	segment
gene:TraesCS3A02G000200	Chr3A	41683	44884	-	43283	Chr3A	1610469	1613668	+	1612068	1.0	0.989	collinear
gene:TraesCS3A02G000500	Chr3A	129964	132254	-	131109	Chr3A	1521217	1523186	+	1522201	1.0	0.984	collinear
gene:TraesCS3A02G000700	Chr3A	204727	208013	-	206370	Chr3A	1447415	1450701	+	1449058	1.0	0.996	collinear
gene:TraesCS3A02G000800	Chr3A	397801	400871	-	399336	Chr3A	1374027	1377099	+	1375563	1.0	0.991	collinear
gene:TraesCS3A02G000900	Chr3A	409621	416203	-	412912	Chr3A	1255263	1261257	+	1258260	0.954	0.905	collinear
gene:TraesCS3A02G001000	Chr3A	425011	425988	-	425499	Chr3A	1245529	1246509	+	1246019	1.0	0.987	collinear
gene:TraesCS3A02G001100	Chr3A	430147	432865	+	431506	Chr3A	1205830	1208579	-	1207204	1.0	0.958	collinear
gene:TraesCS3A02G001500	Chr3A	1028128	1031945	+	1030036	Chr3A	1068845	1072605	-	1070725	0.964	0.917	collinear
gene:TraesCS3A02G001600	Chr3A	1055242	1059496	-	1057369	Chr3A	1032502	1036235	+	1034368	0.999	0.975	collinear
gene:TraesCS3A02G001700	Chr3A	1304381	1309289	+	1306835	Chr3A	413539	418522	-	416030	0.998	0.941	collinear
gene:TraesCS3A02G001800	Chr3A	1313066	1315898	-	1314482	Chr3A	404818	407652	+	406235	0.979	0.954	collinear
gene:TraesCS3A02G001900	Chr3A	1325708	1326744	-	1326226	Chr3A	359891	360924	+	360407	0.997	0.994	collinear
gene:TraesCS3A02G002100	Chr3A	1380918	1383491	+	1382204	Chr3A	352095	354653	-	353374	0.994	0.983	collinear
gene:TraesCS3A02G002200	Chr3A	1389037	1389428	-	1389232	Chr3A	345921	346311	+	346116	1.0	0.996	collinear
gene:TraesCS3A02G002300	Chr3A	1392585	1394247	-	1393416	Chr3A	341026	342699	+	341862	0.999	0.977	collinear
gene:TraesCS3A02G002400	Chr3A	1514278	1514782	+	1514530	Chr3A	2178082	2178588	+	2178335	0.998	0.97	collinear
gene:TraesCS3A02G002500	Chr3A	1519343	1519759	+	1519551	Chr3A	2184026	2184442	+	2184234	1.0	0.995	collinear
gene:TraesCS3A02G002700	Chr3A	1593227	1593658	+	1593442	Chr3A	2086656	2087079	+	2086867	0.981	0.962	collinear
gene:TraesCS3A02G003200	Chr3A	1780395	1782252	+	1781323	Chr3A	2392000	2393857	+	2392928	1.0	0.979	collinear
