gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	ArinaLrFor_tgt_strand	ArinaLrFor_tgt_midpoint	ArinaLrFor_coverage	ArinaLrFor_identity	segment
gene:TraesCS2B02G000100	Chr2B	9843	11553	-	10698	Chr2B	1751429	1753150	-	1752289	1.0	0.99	collinear
gene:TraesCS2B02G000200	Chr2B	19907	22569	+	21238	Chr2B	1794447	1797455	+	1795951	1.0	0.983	collinear
gene:TraesCS2B02G000300	Chr2B	45037	61255	-	53146	Chr2B	1802453	1813105	-	1807779	0.972	0.965	collinear
gene:TraesCS2B02G000400	Chr2B	63870	65572	+	64721	Chr2B	3254268	3255946	-	3255107	0.977	0.906	collinear
gene:TraesCS2B02G000500	Chr2B	91679	92119	+	91899	Chr2B	1846376	1846816	+	1846596	1.0	1.0	collinear
gene:TraesCS2B02G000800	Chr2B	432358	433095	+	432726	Chr2B	1556643	1557380	-	1557011	1.0	0.991	collinear
gene:TraesCS2B02G000900	Chr2B	447781	453531	-	450656	Chr2B	1536664	1542157	+	1539410	0.999	0.996	collinear
gene:TraesCS2B02G001000	Chr2B	470641	473097	+	471869	Chr2B	1517002	1519458	-	1518230	1.0	0.998	collinear
gene:TraesCS2B02G001100	Chr2B	477194	478878	+	478036	Chr2B	1511222	1512903	-	1512062	0.998	0.994	collinear
gene:TraesCS2B02G001200	Chr2B	632838	633239	+	633038	Chr2B	1326698	1327100	-	1326899	1.0	1.0	collinear
gene:TraesCS2B02G001300	Chr2B	810865	811158	-	811011	Chr2B	1150160	1150453	+	1150306	1.0	1.0	collinear
gene:TraesCS2B02G001600	Chr2B	1248784	1252232	+	1250508	Chr2B	7126370	7129821	+	7128095	0.999	0.985	collinear
gene:TraesCS2B02G005000	Chr2B	3288581	3293090	+	3290835	Chr2B	7315672	7320184	-	7317928	1.0	0.997	collinear
gene:TraesCS2B02G005100	Chr2B	3299928	3306836	-	3303382	Chr2B	7302718	7309260	+	7305989	1.0	0.993	collinear
gene:TraesCS2B02G005200	Chr2B	3307435	3312813	-	3310124	Chr2B	7296914	7302202	+	7299558	1.0	0.985	collinear
gene:TraesCS2B02G005800	Chr2B	3772263	3773975	-	3773119	Chr2B	13400766	13402479	+	13401622	1.0	0.997	collinear
gene:TraesCS2B02G005900	Chr2B	3787544	3790240	+	3788892	Chr2B	13384531	13387227	-	13385879	1.0	0.999	collinear
gene:TraesCS2B02G006000	Chr2B	3794600	3795885	-	3795242	Chr2B	13378229	13379514	+	13378871	1.0	0.996	collinear
gene:TraesCS2B02G006400	Chr2B	4117000	4118048	-	4117524	Chr2B	13348716	13349764	+	13349240	1.0	0.993	collinear
gene:TraesCS2B02G006500	Chr2B	4131445	4133057	+	4132251	Chr2B	13333706	13335318	-	13334512	1.0	1.0	collinear
gene:TraesCS2B02G006600	Chr2B	4185133	4187548	+	4186340	Chr2B	13279125	13281540	-	13280332	1.0	1.0	collinear
gene:TraesCS2B02G006700	Chr2B	4283146	4285475	+	4284310	Chr2B	13180563	13182892	-	13181727	1.0	1.0	collinear
gene:TraesCS2B02G006900	Chr2B	4471513	4472626	-	4472069	Chr2B	13010666	13011779	+	13011222	1.0	1.0	collinear
gene:TraesCS2B02G007000	Chr2B	4481802	4483613	+	4482707	Chr2B	12999681	13001492	-	13000586	1.0	1.0	collinear
gene:TraesCS2B02G007100	Chr2B	4493174	4494883	+	4494028	Chr2B	12988410	12990119	-	12989264	1.0	1.0	collinear
gene:TraesCS2B02G007200	Chr2B	4502931	4515467	+	4509199	Chr2B	12967812	12980362	-	12974087	1.0	1.0	collinear
gene:TraesCS2B02G007300	Chr2B	4622069	4625035	+	4623552	Chr2B	12805582	12808354	-	12806968	1.0	0.997	collinear
gene:TraesCS2B02G007400	Chr2B	4633720	4638108	+	4635914	Chr2B	12795684	12800079	-	12797881	1.0	0.995	collinear
gene:TraesCS2B02G007500	Chr2B	4642754	4643683	+	4643218	Chr2B	12790110	12791039	-	12790574	1.0	0.993	collinear
gene:TraesCS2B02G007600	Chr2B	4644215	4645528	+	4644871	Chr2B	12788265	12789578	-	12788921	1.0	0.996	collinear
gene:TraesCS2B02G007700	Chr2B	4646554	4654607	-	4650580	Chr2B	12760089	12767934	+	12764011	0.998	0.98	collinear
gene:TraesCS2B02G007800	Chr2B	4656499	4665524	+	4661011	Chr2B	12748852	12758593	-	12753722	0.949	0.914	collinear
