cs_chr	cs_start	cs_end	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	n_anchors	mean_identity
Chr6B	168584	103962989	Chr6B	237068	106498682	968	0.991017561983471
Chr6B	106468710	109142658	Chr6B	109036452	111757600	7	0.9995714285714286
Chr6B	111685641	126728464	Chr6B	114232187	129279931	117	0.992034188034188
Chr6B	132284634	137457454	Chr6B	137504671	143172588	44	0.9905000000000002
Chr6B	144890521	178273138	Chr6B	149993973	184126185	208	0.9906153846153847
Chr6B	201409686	206832231	Chr6B	205964486	211255483	37	0.9954054054054053
Chr6B	227269405	240389190	Chr6B	234402361	247427739	80	0.9993375
Chr6B	243269422	250132421	Chr6B	250396501	256852282	22	0.9911818181818183
Chr6B	255004953	262472341	Chr6B	257730423	265234630	31	0.9975161290322582
Chr6B	264839998	264978909	Chr6B	267614505	267758627	6	0.9973333333333333
Chr6B	267065797	267505591	Chr6B	269846103	270282100	3	0.999
Chr6B	269689585	282983990	Chr6B	272506477	286183681	45	0.9982444444444446
Chr6B	286712737	293114190	Chr6B	290235153	296778281	23	0.9954782608695651
Chr6B	295767133	302596217	Chr6B	299344618	306239879	26	0.9964615384615384
Chr6B	304894478	314569712	Chr6B	308483735	321122168	19	0.9981052631578947
Chr6B	319531354	321293096	Chr6B	323195025	325001340	9	0.9976666666666668
Chr6B	341712366	343111521	Chr6B	353034326	354362143	5	0.9969999999999999
Chr6B	374970725	377932318	Chr6B	378209900	381073268	4	0.997
Chr6B	399766388	424306904	Chr6B	402035289	435668911	58	0.994
Chr6B	430193107	441049080	Chr6B	436513692	447455791	50	0.9980000000000001
Chr6B	444540716	479000671	Chr6B	450978704	488606607	176	0.9952443181818182
Chr6B	495743955	501772070	Chr6B	502885272	508956023	32	0.999625
Chr6B	516078619	620708761	Chr6B	526272482	629542638	639	0.9966619718309858
Chr6B	622726250	626889431	Chr6B	631443969	635497259	36	0.9923333333333334
Chr6B	630465748	720953306	Chr6B	638021951	727282814	853	0.9880023446658851
