cs_chr	cs_start	cs_end	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	n_anchors	mean_identity
Chr5B	18796	1750886	Chr5B	5987211	10514503	11	0.9901818181818182
Chr5B	6970521	149330732	Chr5B	12158644	160770534	912	0.9937006578947368
Chr5B	152509380	167292122	Chr5B	163064791	178786072	26	0.9981538461538461
Chr5B	191960322	192381573	Chr5B	203655936	204089984	3	0.9993333333333334
Chr5B	201287121	208767936	Chr5B	214318311	221028168	19	0.996578947368421
Chr5B	219089253	236283952	Chr5B	236218861	253824687	69	0.9935217391304347
Chr5B	238316269	257532817	Chr5B	255646243	274489465	78	0.9990897435897435
Chr5B	259539413	341562322	Chr5B	276482541	358945141	497	0.9978893360160966
Chr5B	343826709	383208800	Chr5B	361195277	400658097	216	0.9975092592592593
Chr5B	386333053	700232848	Chr5B	400914718	715067984	2955	0.9931949238578679
Chr5B	704074687	713118452	Chr5B	715848481	725088855	183	0.9975792349726775
