gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	Julius_tgt_strand	Julius_tgt_midpoint	Julius_coverage	Julius_identity	segment
gene:TraesCS3A02G000300	Chr3A	84561	87232	-	85896	Chr3A	1059779	1062435	+	1061107	0.967	0.929	collinear
gene:TraesCS3A02G000500	Chr3A	129964	132254	-	131109	Chr3A	1021176	1023143	+	1022159	1.0	0.988	collinear
gene:TraesCS3A02G000700	Chr3A	204727	208013	-	206370	Chr3A	993638	996921	+	995279	0.998	0.996	collinear
gene:TraesCS3A02G000800	Chr3A	397801	400871	-	399336	Chr3A	876527	879992	+	878259	1.0	0.985	collinear
gene:TraesCS3A02G002100	Chr3A	1380918	1383491	+	1382204	Chr3A	248365	250884	-	249624	0.973	0.951	collinear
gene:TraesCS3A02G002300	Chr3A	1392585	1394247	-	1393416	Chr3A	237624	239071	+	238347	0.95	0.937	collinear
gene:TraesCS3A02G002400	Chr3A	1514278	1514782	+	1514530	Chr3A	1674934	1675441	+	1675187	1.0	0.984	collinear
gene:TraesCS3A02G002500	Chr3A	1519343	1519759	+	1519551	Chr3A	1681275	1681691	+	1681483	1.0	1.0	collinear
gene:TraesCS3A02G002600	Chr3A	1574631	1574990	+	1574810	Chr3A	1726479	1726835	+	1726657	0.991	0.991	collinear
gene:TraesCS3A02G002700	Chr3A	1593227	1593658	+	1593442	Chr3A	1743187	1743613	+	1743400	0.981	0.96	collinear
gene:TraesCS3A02G002800	Chr3A	1618081	1619002	+	1618541	Chr3A	1753849	1754770	+	1754309	1.0	0.993	collinear
gene:TraesCS3A02G003000	Chr3A	1711784	1712270	-	1712027	Chr3A	1900112	1900598	-	1900355	1.0	0.993	collinear
gene:TraesCS3A02G003200	Chr3A	1780395	1782252	+	1781323	Chr3A	2037085	2038942	+	2038013	1.0	0.99	collinear
gene:TraesCS3A02G003300	Chr3A	1789588	1790065	+	1789826	Chr3A	2047484	2047961	+	2047722	1.0	0.995	collinear
gene:TraesCS3A02G003400	Chr3A	1797375	1797977	+	1797676	Chr3A	2054212	2054814	+	2054513	1.0	0.993	collinear
gene:TraesCS3A02G003500	Chr3A	1885671	1886377	+	1886024	Chr3A	2231476	2232158	+	2231817	0.966	0.927	collinear
gene:TraesCS3A02G003600	Chr3A	1896509	1898746	-	1897627	Chr3A	2249535	2251778	-	2250656	1.0	0.954	collinear
gene:TraesCS3A02G003700	Chr3A	1903850	1904592	+	1904221	Chr3A	2265552	2266294	+	2265923	0.998	0.989	collinear
gene:TraesCS3A02G003800	Chr3A	1919555	1923009	+	1921282	Chr3A	2272158	2275614	+	2273886	1.0	0.994	collinear
gene:TraesCS3A02G004000	Chr3A	2137062	2137657	+	2137359	Chr3A	3410418	3410997	+	3410707	0.997	0.964	collinear
gene:TraesCS3A02G004200	Chr3A	2435784	2436154	+	2435969	Chr3A	3173777	3174147	+	3173962	1.0	0.963	collinear
gene:TraesCS3A02G004500	Chr3A	2915325	2915907	+	2915616	Chr3A	2303310	2303892	+	2303601	1.0	0.973	collinear
gene:TraesCS3A02G004600	Chr3A	3410856	3411551	+	3411203	Chr3A	2931258	2931951	+	2931604	0.996	0.975	collinear
gene:TraesCS3A02G004800	Chr3A	3435237	3435607	+	3435422	Chr3A	2602855	2603225	+	2603040	1.0	0.979	collinear
gene:TraesCS3A02G004900	Chr3A	4462222	4462819	+	4462520	Chr3A	3244181	3244779	+	3244480	1.0	0.976	collinear
gene:TraesCS3A02G005000	Chr3A	4485518	4485888	+	4485703	Chr3A	3365951	3366322	+	3366136	1.0	0.948	collinear
gene:TraesCS3A02G005600	Chr3A	7124999	7125736	-	7125367	Chr3A	3770662	3771399	-	3771030	1.0	0.982	collinear
gene:TraesCS3A02G005700	Chr3A	7130853	7131625	-	7131239	Chr3A	3780250	3781030	-	3780640	1.0	0.98	collinear
gene:TraesCS3A02G005900	Chr3A	7200517	7201780	-	7201148	Chr3A	3816073	3817336	-	3816704	1.0	0.993	collinear
gene:TraesCS3A02G006000	Chr3A	7214595	7215368	-	7214981	Chr3A	3831488	3832261	-	3831874	1.0	0.983	collinear
gene:TraesCS3A02G006100	Chr3A	7254324	7260233	+	7257278	Chr3A	3915842	3921771	+	3918806	0.998	0.991	collinear
gene:TraesCS3A02G006300	Chr3A	7273333	7275112	-	7274222	Chr3A	3939638	3941419	-	3940528	1.0	0.996	collinear
