cs_chr	cs_start	cs_end	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	n_anchors	mean_identity
Chr4A	82701	52611541	Chr4A	126832	52776317	559	0.995942754919499
Chr4A	58221890	63099410	Chr4A	58012512	62998079	46	0.9938260869565217
Chr4A	70810849	75462409	Chr4A	70903832	75575995	36	0.9932777777777777
Chr4A	81276884	130504034	Chr4A	81745474	131157814	278	0.9943093525179857
Chr4A	132701921	192628546	Chr4A	133207250	193078548	257	0.9980778210116731
Chr4A	195391805	220022826	Chr4A	195824340	220420695	44	0.9998636363636364
Chr4A	222107768	222562036	Chr4A	222512621	222971396	3	1.0
Chr4A	225313869	227091476	Chr4A	225698924	227484763	4	1.0
Chr4A	229493172	242884659	Chr4A	229893491	243234629	21	0.9993809523809525
Chr4A	331630535	334268011	Chr4A	334236132	336942208	3	0.999
Chr4A	338745706	350244063	Chr4A	341483552	352866081	23	0.9978260869565218
Chr4A	352270324	353874280	Chr4A	354952658	356561925	4	1.0
Chr4A	356554191	359638234	Chr4A	359228374	362282384	6	0.9998333333333335
Chr4A	362089683	365639149	Chr4A	364729653	368260125	5	0.9852000000000001
Chr4A	373805571	387104269	Chr4A	376596348	389903071	15	0.9996000000000002
Chr4A	389242085	390892975	Chr4A	392043538	393676831	3	1.0
Chr4A	395027325	398506001	Chr4A	397778745	401255954	6	1.0
Chr4A	400757887	401303656	Chr4A	403488468	404040270	3	0.999
Chr4A	407610912	420517232	Chr4A	410325001	423301288	17	0.9968235294117646
Chr4A	422761993	508494353	Chr4A	425512516	511167225	408	0.9971593137254903
Chr4A	510639254	641610833	Chr4A	513304253	645652995	1453	0.995942876806607
Chr4A	662457527	666812773	Chr4A	664868137	669313719	35	0.9918285714285714
Chr4A	686530004	704646380	Chr4A	692907711	712657584	150	0.9938800000000001
Chr4A	708465734	711959634	Chr4A	712902635	719939033	41	0.9744634146341464
Chr4A	738750865	742076350	Chr4A	746828729	750185677	90	0.9965888888888887
