cs_chr	cs_start	cs_end	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	n_anchors	mean_identity
Chr4D	410678	140903099	Chr4D	106177	141403888	1413	0.9982696390658173
Chr4D	143579930	155648423	Chr4D	144064767	156118188	15	0.9952
Chr4D	163412513	183387226	Chr4D	163849658	183620476	27	0.998962962962963
Chr4D	188710899	192736636	Chr4D	190303685	194321397	6	0.9998333333333332
Chr4D	195017915	198583229	Chr4D	196591104	200135157	7	0.9997142857142858
Chr4D	201443437	212157624	Chr4D	203358810	214996158	27	0.9994814814814815
Chr4D	214312396	228145178	Chr4D	217154908	230968681	23	0.9974782608695653
Chr4D	230907493	238626311	Chr4D	233197337	240926180	10	0.9995
Chr4D	240933419	248933627	Chr4D	243220227	251240274	19	0.9993684210526316
Chr4D	251524682	256552996	Chr4D	253811967	258831652	7	0.9872857142857142
Chr4D	258897131	261254698	Chr4D	261150822	263542321	6	1.0
Chr4D	263946972	268074619	Chr4D	266219937	270301941	7	0.998142857142857
Chr4D	270654719	329311457	Chr4D	272884519	331607173	240	0.9985166666666667
Chr4D	331638064	375735889	Chr4D	333917665	377868676	302	0.9986092715231788
Chr4D	377828182	410407878	Chr4D	379973187	412586361	236	0.997364406779661
Chr4D	412715801	505554072	Chr4D	414918350	509182385	1081	0.9984680851063831
