cs_chr	cs_start	cs_end	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	n_anchors	mean_identity
Chr2A	257781341	258353437	Chr2A	256021410	256631192	4	0.997
Chr2A	260548731	262579565	Chr2A	251587790	253694379	7	0.9995714285714286
Chr2A	265274570	273294992	Chr2A	241891451	250377535	16	0.9928125000000001
Chr2A	275352399	278919157	Chr2A	236148060	239701637	18	0.9892777777777777
Chr2A	334887901	338546598	Chr2A	330412959	334197255	24	0.99375
Chr2A	342544978	349739385	Chr2A	360722848	367867021	12	0.9947500000000001
Chr2A	355457690	358948890	Chr2A	351461317	355011322	4	0.99825
Chr2A	360420161	362444338	Chr2A	373036252	375098206	8	0.99525
Chr2A	254112	233473266	Chr2A	41833	235322176	2103	0.995035187826914
Chr2A	255910505	256209030	Chr2A	258162473	258438073	4	0.998
Chr2A	278994740	281746218	Chr2A	280638536	283470401	5	0.9986
Chr2A	283944564	286439768	Chr2A	285744149	288370502	5	0.9962
Chr2A	288988301	293951072	Chr2A	290880580	295747863	7	0.9907142857142858
Chr2A	300399162	306682759	Chr2A	302776931	309237906	8	0.99675
Chr2A	317947462	324619894	Chr2A	320709469	327755086	11	0.9944545454545455
Chr2A	329696283	334595264	Chr2A	334485659	339505927	10	0.9856
Chr2A	350405869	354530162	Chr2A	355957688	360038921	7	0.9901428571428573
Chr2A	364470917	395710262	Chr2A	368297992	403231113	99	0.9952424242424242
Chr2A	398464297	398971793	Chr2A	407725842	408190177	4	0.97575
Chr2A	405468040	486499474	Chr2A	412876067	493945532	262	0.9962404580152672
Chr2A	488847564	547776466	Chr2A	496253591	554789107	309	0.9970097087378641
Chr2A	563768705	568484007	Chr2A	570535984	575275125	39	0.996025641025641
Chr2A	582840575	761027623	Chr2A	589789489	771436630	1961	0.9956578276389597
Chr2A	770249791	775070059	Chr2A	778964380	783730386	65	0.9939538461538462
Chr2A	549288612	563258647	Chr2A	575825847	589469687	101	0.9942376237623763
Chr2A	762146151	763046294	Chr2A	760482323	760988970	11	0.9763636363636364
Chr2A	775165713	780777724	Chr2A	771698397	778863779	71	0.9702394366197186
