gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	Julius_tgt_strand	Julius_tgt_midpoint	Julius_coverage	Julius_identity	segment
gene:TraesCS3D02G000100	Chr3D	325619	325987	-	325803	Chr3D	4594394	4594756	-	4594575	0.98	0.9	collinear
gene:TraesCS3D02G000200	Chr3D	328329	328952	+	328640	Chr3D	4596689	4597309	+	4596999	0.995	0.939	collinear
gene:TraesCS3D02G000400	Chr3D	356416	357339	-	356877	Chr3D	4514096	4515034	+	4514565	1.0	0.96	collinear
gene:TraesCS3D02G000500	Chr3D	390450	391973	-	391211	Chr3D	4498786	4500297	+	4499541	0.98	0.919	collinear
gene:TraesCS3D02G001400	Chr3D	707880	709355	+	708617	Chr3D	4228028	4229494	-	4228761	0.993	0.945	collinear
gene:TraesCS3D02G001500	Chr3D	770364	773698	+	772031	Chr3D	4204192	4207534	-	4205863	0.977	0.9	collinear
gene:TraesCS3D02G001600	Chr3D	774041	778387	-	776214	Chr3D	4199517	4203787	+	4201652	0.977	0.94	collinear
gene:TraesCS3D02G001900	Chr3D	865996	870567	-	868281	Chr3D	4160288	4165295	+	4162791	0.989	0.91	collinear
gene:TraesCS3D02G002000	Chr3D	925863	930264	-	928063	Chr3D	4095839	4100350	+	4098094	0.993	0.936	collinear
gene:TraesCS3D02G003500	Chr3D	1602462	1602965	-	1602713	Chr3D	3304668	3305180	+	3304924	1.0	0.939	collinear
gene:TraesCS3D02G003600	Chr3D	1606509	1608807	-	1607658	Chr3D	3299128	3301432	+	3300280	0.988	0.947	collinear
gene:TraesCS3D02G003700	Chr3D	1634040	1636188	-	1635114	Chr3D	3281685	3283830	+	3282757	0.998	0.955	collinear
gene:TraesCS3D02G003800	Chr3D	1638722	1640647	-	1639684	Chr3D	3277231	3279094	+	3278162	0.937	0.912	collinear
gene:TraesCS3D02G003900	Chr3D	1655945	1659437	+	1657691	Chr3D	3214366	3217909	-	3216137	0.988	0.907	collinear
gene:TraesCS3D02G004100	Chr3D	1733084	1736612	-	1734848	Chr3D	3202394	3206311	+	3204352	0.97	0.922	collinear
gene:TraesCS3D02G004300	Chr3D	1748596	1750441	+	1749518	Chr3D	3192050	3193890	-	3192970	0.991	0.936	collinear
gene:TraesCS3D02G004800	Chr3D	1882953	1883660	+	1883306	Chr3D	2837988	2838694	-	2838341	0.998	0.956	collinear
gene:TraesCS3D02G004900	Chr3D	1889301	1890762	+	1890031	Chr3D	2831573	2833034	-	2832303	0.998	0.979	collinear
gene:TraesCS3D02G005500	Chr3D	2147110	2150436	-	2148773	Chr3D	2400853	2403896	+	2402374	0.972	0.944	collinear
gene:TraesCS3D02G005600	Chr3D	2150758	2151273	-	2151015	Chr3D	2400041	2400556	+	2400298	1.0	0.905	collinear
gene:TraesCS3D02G005800	Chr3D	2194172	2194792	-	2194482	Chr3D	2115506	2116123	+	2115814	0.995	0.95	collinear
gene:TraesCS3D02G006000	Chr3D	2239080	2239552	-	2239316	Chr3D	2094629	2095101	+	2094865	0.997	0.959	collinear
gene:TraesCS3D02G006100	Chr3D	2242930	2243343	-	2243136	Chr3D	2090708	2091121	+	2090914	1.0	0.971	collinear
gene:TraesCS3D02G006600	Chr3D	2308597	2309333	+	2308965	Chr3D	1954216	1954950	-	1954583	0.998	0.93	collinear
gene:TraesCS3D02G007100	Chr3D	2461836	2462258	-	2462047	Chr3D	1868230	1868637	+	1868433	0.964	0.938	collinear
gene:TraesCS3D02G007400	Chr3D	2589848	2597476	+	2593662	Chr3D	1844032	1851763	-	1847897	0.99	0.916	collinear
gene:TraesCS3D02G007500	Chr3D	2600356	2603119	-	2601737	Chr3D	1837801	1840655	+	1839228	1.0	0.966	collinear
gene:TraesCS3D02G007600	Chr3D	2619155	2627987	+	2623571	Chr3D	1803353	1812154	-	1807753	0.974	0.932	collinear
gene:TraesCS3D02G007700	Chr3D	2718295	2718750	+	2718522	Chr3D	1784527	1784976	-	1784751	0.967	0.907	collinear
gene:TraesCS3D02G007800	Chr3D	2720422	2720769	+	2720595	Chr3D	1782755	1783102	-	1782928	1.0	0.942	collinear
gene:TraesCS3D02G010900	Chr3D	4012104	4013109	+	4012606	Chr3D	4838714	4839720	+	4839217	0.996	0.965	collinear
gene:TraesCS3D02G011000	Chr3D	4044313	4045303	-	4044808	Chr3D	4843237	4844249	-	4843743	0.998	0.951	collinear
gene:TraesCS3D02G011100	Chr3D	4045939	4046830	+	4046384	Chr3D	4844879	4845769	+	4845324	0.998	0.922	collinear
gene:TraesCS3D02G011200	Chr3D	4066322	4069230	-	4067776	Chr3D	4864117	4866965	-	4865541	0.97	0.915	collinear
gene:TraesCS3D02G012000	Chr3D	4179986	4182963	-	4181474	Chr3D	5029150	5032174	-	5030662	1.0	0.952	collinear
gene:TraesCS3D02G012300	Chr3D	4317721	4319482	+	4318601	Chr3D	5058038	5059770	+	5058904	0.982	0.937	collinear
gene:TraesCS3D02G013100	Chr3D	4504881	4506056	+	4505468	Chr3D	5439932	5441087	-	5440509	0.983	0.906	collinear
gene:TraesCS3D02G013500	Chr3D	4866164	4866673	-	4866418	Chr3D	5514047	5514556	-	5514301	1.0	0.901	collinear
gene:TraesCS3D02G013700	Chr3D	4956998	4957663	-	4957330	Chr3D	5966312	5966976	-	5966644	1.0	0.958	collinear
gene:TraesCS3D02G014200	Chr3D	4986566	4990029	+	4988297	Chr3D	5911500	5915192	+	5913346	1.0	0.955	collinear
gene:TraesCS3D02G014900	Chr3D	5173752	5176386	-	5175069	Chr3D	10468817	10471430	+	10470123	0.982	0.924	collinear
gene:TraesCS3D02G015200	Chr3D	5372968	5376568	-	5374768	Chr3D	6244603	6248204	+	6246403	1.0	0.949	collinear
gene:TraesCS3D02G015600	Chr3D	5601666	5605871	-	5603768	Chr3D	6702810	6706928	-	6704869	0.939	0.9	collinear
gene:TraesCS3D02G015900	Chr3D	5649356	5651648	+	5650502	Chr3D	6742056	6744462	+	6743259	1.0	0.953	collinear
gene:TraesCS3D02G016300	Chr3D	5733130	5737195	-	5735162	Chr3D	6935392	6939337	+	6937364	1.0	0.954	collinear
gene:TraesCS3D02G016400	Chr3D	5757697	5761111	-	5759404	Chr3D	6918189	6921519	+	6919854	1.0	0.967	collinear
gene:TraesCS3D02G016500	Chr3D	5790619	5794367	+	5792493	Chr3D	6944154	6948390	+	6946272	0.999	0.963	collinear
gene:TraesCS3D02G016600	Chr3D	5802877	5804191	+	5803534	Chr3D	6955630	6956764	+	6956197	0.998	0.937	collinear
gene:TraesCS3D02G016800	Chr3D	5812552	5813779	-	5813165	Chr3D	6890807	6892068	+	6891437	1.0	0.958	collinear
gene:TraesCS3D02G017300	Chr3D	5869810	5873304	+	5871557	Chr3D	7076369	7080003	+	7078186	0.982	0.928	collinear
