cs_chr	cs_start	cs_end	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	n_anchors	mean_identity
Chr3D	325803	116408326	Chr3D	1782928	121243501	1300	0.9948423076923077
Chr3D	118542402	193596645	Chr3D	123393201	198469292	416	0.9995456730769232
Chr3D	196947044	200390459	Chr3D	201804170	205230087	5	0.9998000000000001
Chr3D	202614073	202651143	Chr3D	207635059	207671301	4	1.0
Chr3D	206979095	213997235	Chr3D	211940057	218899705	11	0.9990000000000001
Chr3D	216425033	219568689	Chr3D	221315427	224405835	6	1.0
Chr3D	225525420	232470513	Chr3D	230501696	237430000	13	0.9921538461538462
Chr3D	234603090	244292283	Chr3D	239547258	250796407	13	0.9998461538461539
Chr3D	246327705	257173258	Chr3D	251624977	263662558	29	0.999
Chr3D	259434941	298593191	Chr3D	265908848	304886583	138	0.9980072463768116
Chr3D	309773279	314619116	Chr3D	315090371	319915403	31	0.9999354838709678
Chr3D	324387385	492131921	Chr3D	330748084	498041399	1375	0.9982763636363637
Chr3D	494653889	615474754	Chr3D	500616266	621072363	1587	0.997591052299937
