cs_chr	Julius_tgt_chr	n_anchors	Julius_mean_anchor_gap_Mb	Julius_interp_type	n_segments	Julius_mean_anchor_fraction
Chr1A	Chr1A+Chr1A+Chr1A+Chr1A+Chr1A+Chr1A	3971	0.151	linear+linear+linear+pchip_inverted+pchip_inverted+pchip_inverted	6	0.933
Chr1B	Chr1B+Chr1B	4255	0.108	pchip+linear	2	0.927
Chr1D	Chr1D	4340	0.114	linear	1	0.975
Chr2A	Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A	5186	0.737	pchip_inverted+pchip_inverted+pchip_inverted+linear+pchip_inverted+linear+linear+pchip+linear	9	0.895
Chr2B	Chr2B	5149	0.156	linear	1	0.889
Chr2D	Chr2D+Chr2D+Chr2D	5273	0.078	linear+pchip_inverted+linear	3	0.937
Chr3A	Chr3A+Chr3A+Chr3A+Chr3A+Chr3A	4953	0.115	linear+pchip_inverted+linear+pchip_inverted+pchip	5	0.963
Chr3B	Chr3B+Chr3B+Chr3B+Chr3B+Chr3B+Chr3B+Chr3B+Chr3B+Chr3B	5261	0.718	linear+linear+pchip_inverted+linear+pchip+pchip_inverted+linear+pchip_inverted+linear	9	0.915
Chr3D	Chr3D+Chr3D+Chr3D	5044	0.176	pchip_inverted+pchip_inverted+linear	3	0.972
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A	4121	0.333	linear+pchip_inverted+linear+linear+linear+linear	6	0.92
Chr4B	Chr4B+Chr4B	3471	0.14	linear+linear	2	0.751
Chr4D	Chr4D	3430	0.147	linear	1	0.978
Chr5A	Chr5A+Chr5A+Chr5A+Chr5A+Chr5A+Chr5A	5180	0.151	pchip+pchip_inverted+pchip_inverted+pchip_inverted+pchip_inverted+linear	6	0.958
Chr5B	Chr5B+Chr5B+Chr5B+Chr5B+Chr5B+Chr5B+Chr5B+Chr5B+Chr5B+Chr5B	5101	0.151	pchip_inverted+pchip_inverted+pchip+pchip+pchip+pchip_inverted+pchip_inverted+linear+linear+pchip	10	0.905
Chr5D	Chr5D+Chr5D+Chr5D	5395	0.058	linear+linear+linear	3	0.975
Chr6A	Chr6A+Chr6A+Chr6A	3556	0.228	pchip_inverted+pchip_inverted+linear	3	0.932
Chr6B	Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B	3927	0.235	pchip_inverted+pchip_inverted+pchip_inverted+pchip_inverted+pchip_inverted+linear+pchip_inverted+pchip_inverted	8	0.832
Chr6D	Chr6D+Chr6D+Chr6D+Chr6D+Chr6D+Chr6D+Chr6D+Chr6D	3736	0.187	pchip_inverted+pchip_inverted+pchip_inverted+linear+pchip_inverted+pchip_inverted+linear+pchip_inverted	8	0.962
Chr7A	Chr7A+Chr7A+Chr7A+Chr7A+Chr7A+Chr7A+Chr7A	5028	0.096	linear+linear+linear+pchip_inverted+linear+pchip_inverted+linear	7	0.944
Chr7B	Chr7B+Chr7B	4344	0.254	linear+linear	2	0.929
Chr7D	Chr7D+Chr7D	5260	0.077	linear+pchip_inverted	2	0.978
