cs_chr	cs_start	cs_end	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	n_anchors	mean_identity
Chr7B	34838	36507841	Chr7B	34568	37690140	325	0.9938984615384615
Chr7B	39548352	154814815	Chr7B	40059182	154935163	836	0.9948708133971291
Chr7B	295082068	296338725	Chr7B	299085141	300365763	3	0.9996666666666667
Chr7B	310413787	312442469	Chr7B	311762834	313889351	5	0.9998000000000001
Chr7B	337929275	339223535	Chr7B	339951078	341150049	3	1.0
Chr7B	347979925	355879658	Chr7B	341637885	349485223	9	0.9998888888888889
Chr7B	357994137	389109218	Chr7B	355585102	390971686	135	0.998762962962963
Chr7B	391956637	405970176	Chr7B	393892336	407904268	52	0.9968846153846154
Chr7B	408568404	419042240	Chr7B	410512864	421115749	45	0.9992222222222223
Chr7B	421064524	541167218	Chr7B	423111393	543267566	775	0.9982387096774193
Chr7B	543188151	736138668	Chr7B	545246261	738459136	1418	0.9920380818053597
Chr7B	739384559	750590753	Chr7B	738546184	748656762	114	0.9856403508771929
