cs_chr	cs_start	cs_end	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	n_anchors	mean_identity
Chr3A	85896	4485703	Chr3A	238347	3410707	26	0.9741153846153845
Chr3A	7125367	128718501	Chr3A	3771030	137967921	1275	0.9952360784313726
Chr3A	130835529	181088605	Chr3A	140083428	190079639	214	0.9978364485981309
Chr3A	184214632	251342423	Chr3A	193188653	260469166	204	0.9995343137254903
Chr3A	259064196	267056348	Chr3A	268110527	276131654	12	0.9976666666666668
Chr3A	269215500	273159995	Chr3A	278299242	282216219	6	0.9993333333333334
Chr3A	275284207	283103162	Chr3A	284348149	292104698	7	0.9998571428571428
Chr3A	290432064	293589663	Chr3A	300030592	303190700	5	0.9992000000000001
Chr3A	295949198	314620161	Chr3A	305544195	324153054	24	0.9975833333333334
Chr3A	321109384	337881732	Chr3A	333160705	350684795	29	0.9996206896551725
Chr3A	340259729	343231466	Chr3A	353090468	356020192	8	0.99625
Chr3A	345871376	349014829	Chr3A	358671963	361806312	6	0.9998333333333335
Chr3A	352872143	528599904	Chr3A	365646959	541192722	864	0.9973298611111111
Chr3A	534200646	545153837	Chr3A	541315807	552294480	67	0.9927611940298507
Chr3A	556260652	750618114	Chr3A	558495321	756360957	2077	0.9952262879152625
