gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	Julius_tgt_strand	Julius_tgt_midpoint	Julius_coverage	Julius_identity	segment
gene:TraesCS2A02G000100	Chr2A	249837	258387	+	254112	Chr2A	1752974	1761522	-	1757248	0.999	0.999	collinear
gene:TraesCS2A02G000200	Chr2A	258830	262973	-	260901	Chr2A	1748388	1752531	+	1750459	1.0	1.0	collinear
gene:TraesCS2A02G000300	Chr2A	272124	273067	-	272595	Chr2A	1738268	1739211	+	1738739	1.0	0.998	collinear
gene:TraesCS2A02G000400	Chr2A	278821	289215	+	284018	Chr2A	1722372	1732510	-	1727441	0.998	0.998	collinear
gene:TraesCS2A02G000500	Chr2A	326106	327106	-	326606	Chr2A	1684396	1685395	+	1684895	1.0	1.0	collinear
gene:TraesCS2A02G000600	Chr2A	389168	391345	+	390256	Chr2A	1620205	1622382	-	1621293	1.0	0.999	collinear
gene:TraesCS2A02G000700	Chr2A	396124	400932	-	398528	Chr2A	1610493	1615449	+	1612971	0.995	0.995	collinear
gene:TraesCS2A02G000800	Chr2A	473496	474573	-	474034	Chr2A	1538322	1539381	+	1538851	1.0	0.998	collinear
gene:TraesCS2A02G001000	Chr2A	512885	516471	+	514678	Chr2A	1497655	1501241	-	1499448	1.0	1.0	collinear
gene:TraesCS2A02G001100	Chr2A	525386	528729	+	527057	Chr2A	1485346	1488689	-	1487017	1.0	0.999	collinear
gene:TraesCS2A02G001200	Chr2A	529346	533102	-	531224	Chr2A	1480977	1484729	+	1482853	1.0	1.0	collinear
gene:TraesCS2A02G001300	Chr2A	533300	536209	+	534754	Chr2A	1477870	1480779	-	1479324	1.0	0.998	collinear
gene:TraesCS2A02G001400	Chr2A	562911	565826	-	564368	Chr2A	1379072	1381987	+	1380529	1.0	0.995	collinear
gene:TraesCS2A02G001600	Chr2A	658359	660448	+	659403	Chr2A	1174201	1176273	-	1175237	0.985	0.978	collinear
gene:TraesCS2A02G001700	Chr2A	662867	665222	+	664044	Chr2A	1170986	1173331	-	1172158	0.994	0.987	collinear
gene:TraesCS2A02G001800	Chr2A	715377	716198	+	715787	Chr2A	1125938	1126703	-	1126320	0.931	0.927	collinear
gene:TraesCS2A02G001900	Chr2A	746916	747789	+	747352	Chr2A	1086190	1087063	-	1086626	1.0	0.994	collinear
gene:TraesCS2A02G002000	Chr2A	819919	820675	+	820297	Chr2A	1007637	1008393	-	1008015	1.0	0.986	collinear
gene:TraesCS2A02G002100	Chr2A	1163741	1165344	-	1164542	Chr2A	746950	748553	+	747751	1.0	1.0	collinear
gene:TraesCS2A02G002400	Chr2A	1364422	1365450	-	1364936	Chr2A	552943	553971	+	553457	1.0	1.0	collinear
gene:TraesCS2A02G002500	Chr2A	1370229	1381768	-	1375998	Chr2A	536601	548164	+	542382	1.0	0.975	collinear
