cs_chr	cs_start	cs_end	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	n_anchors	mean_identity
Chr1A	55218	4063301	Chr1A	9925353	14009230	59	0.9917288135593221
Chr1A	9763076	14161788	Chr1A	80179	4575555	99	0.988121212121212
Chr1A	4552264	9664045	Chr1A	4672879	9394234	89	0.9957415730337079
Chr1A	14468674	158493459	Chr1A	14097954	158007133	909	0.9971650165016501
Chr1A	161671479	177381882	Chr1A	161206052	176871930	28	0.9995714285714286
Chr1A	179530042	182122609	Chr1A	178957803	181543747	6	0.9996666666666667
Chr1A	184934985	193518233	Chr1A	184366368	192910145	12	0.9999166666666667
Chr1A	200578799	202086777	Chr1A	200100961	201569852	5	0.9992000000000001
Chr1A	204319371	209358469	Chr1A	203850866	208874200	7	0.9998571428571429
Chr1A	213918065	410154980	Chr1A	210892476	407150125	910	0.9954967032967033
Chr1A	412224586	420515127	Chr1A	409580861	417801449	23	0.9933478260869566
Chr1A	423163477	514701450	Chr1A	419621374	510731146	812	0.9961194581280789
Chr1A	517745595	522515619	Chr1A	513888265	518837902	61	0.9920983606557376
Chr1A	526622652	585822365	Chr1A	523212201	584520965	875	0.993728
Chr1A	592092171	593789748	Chr1A	584935751	586683903	18	0.9777777777777776
Chr1A	514870125	517520175	Chr1A	519054897	522265246	42	0.9954523809523811
Chr1A	522536186	522981087	Chr1A	513463511	513862529	7	0.9862857142857144
Chr1A	524123012	525143807	Chr1A	511374593	512411377	7	0.999
