gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	Julius_tgt_strand	Julius_tgt_midpoint	Julius_coverage	Julius_identity	segment
gene:TraesCS7A02G000100	Chr7A	238043	241215	+	239629	Chr7A	13627379	13630551	-	13628965	1.0	1.0	rearrangement:Chr7A_block2
gene:TraesCS7A02G000200	Chr7A	242359	246258	-	244308	Chr7A	13622338	13626235	+	13624286	1.0	1.0	rearrangement:Chr7A_block2
gene:TraesCS7A02G000300	Chr7A	250565	253987	+	252276	Chr7A	13614612	13618034	-	13616323	1.0	0.999	rearrangement:Chr7A_block2
gene:TraesCS7A02G000400	Chr7A	289316	290626	+	289971	Chr7A	13580018	13581331	-	13580674	1.0	1.0	rearrangement:Chr7A_block2
gene:TraesCS7A02G000600	Chr7A	331413	332217	+	331815	Chr7A	13539079	13539883	-	13539481	1.0	1.0	rearrangement:Chr7A_block2
gene:TraesCS7A02G000700	Chr7A	342962	346248	-	344605	Chr7A	13525673	13528959	+	13527316	1.0	1.0	rearrangement:Chr7A_block2
gene:TraesCS7A02G000800	Chr7A	463692	465671	-	464681	Chr7A	13408734	13410713	+	13409723	1.0	1.0	rearrangement:Chr7A_block2
gene:TraesCS7A02G000900	Chr7A	631804	635718	+	633761	Chr7A	13230607	13234520	-	13232563	1.0	0.999	rearrangement:Chr7A_block2
gene:TraesCS7A02G000936	Chr7A	643174	655611	-	649392	Chr7A	13210715	13223152	+	13216933	1.0	0.999	rearrangement:Chr7A_block2
gene:TraesCS7A02G001000	Chr7A	665160	680522	-	672841	Chr7A	13188181	13201166	+	13194673	1.0	1.0	rearrangement:Chr7A_block2
gene:TraesCS7A02G001100	Chr7A	760723	764116	-	762419	Chr7A	13104922	13108315	+	13106618	1.0	1.0	rearrangement:Chr7A_block2
gene:TraesCS7A02G001121	Chr7A	785611	786054	-	785832	Chr7A	13084151	13084594	+	13084372	1.0	1.0	rearrangement:Chr7A_block2
gene:TraesCS7A02G001200	Chr7A	976470	983181	+	979825	Chr7A	12885943	12892654	-	12889298	1.0	1.0	rearrangement:Chr7A_block2
gene:TraesCS7A02G001300	Chr7A	1128397	1129068	+	1128732	Chr7A	12740905	12741576	-	12741240	1.0	1.0	rearrangement:Chr7A_block2
gene:TraesCS7A02G001400	Chr7A	1180399	1182394	+	1181396	Chr7A	12700876	12702871	-	12701873	1.0	0.999	rearrangement:Chr7A_block2
gene:TraesCS7A02G001500	Chr7A	1273203	1274422	+	1273812	Chr7A	12602571	12603790	-	12603180	1.0	1.0	rearrangement:Chr7A_block2
gene:TraesCS7A02G001600	Chr7A	1277396	1277831	-	1277613	Chr7A	12599162	12599597	+	12599379	1.0	1.0	rearrangement:Chr7A_block2
gene:TraesCS7A02G001700	Chr7A	1280349	1295461	-	1287905	Chr7A	12581625	12596644	+	12589134	1.0	0.999	rearrangement:Chr7A_block2
gene:TraesCS7A02G001800	Chr7A	1316001	1316821	-	1316411	Chr7A	12560760	12561580	+	12561170	1.0	1.0	rearrangement:Chr7A_block2
gene:TraesCS7A02G001900	Chr7A	1320275	1322055	-	1321165	Chr7A	12555526	12557306	+	12556416	1.0	1.0	rearrangement:Chr7A_block2
gene:TraesCS7A02G002600	Chr7A	1521562	1524436	+	1522999	Chr7A	12498079	12500953	-	12499516	1.0	1.0	rearrangement:Chr7A_block2
gene:TraesCS7A02G002700	Chr7A	1690697	1692368	+	1691532	Chr7A	12300645	12302316	-	12301480	1.0	1.0	rearrangement:Chr7A_block2
gene:TraesCS7A02G002800	Chr7A	1695250	1700497	+	1697873	Chr7A	12292743	12296291	-	12294517	0.904	0.901	rearrangement:Chr7A_block2
gene:TraesCS7A02G003000	Chr7A	1712778	1718449	+	1715613	Chr7A	12282771	12288344	-	12285557	0.984	0.975	rearrangement:Chr7A_block2
gene:TraesCS7A02G003100	Chr7A	1718979	1724204	-	1721591	Chr7A	12276995	12282241	+	12279618	1.0	0.995	rearrangement:Chr7A_block2
gene:TraesCS7A02G003200	Chr7A	1742688	1748575	-	1745631	Chr7A	12253532	12259527	+	12256529	1.0	0.994	rearrangement:Chr7A_block2
gene:TraesCS7A02G003300	Chr7A	1780541	1782994	-	1781767	Chr7A	12132806	12135259	+	12134032	1.0	1.0	rearrangement:Chr7A_block2
gene:TraesCS7A02G003500	Chr7A	1841972	1847563	-	1844767	Chr7A	12109074	12114665	+	12111869	0.999	0.992	rearrangement:Chr7A_block2
gene:TraesCS7A02G003700	Chr7A	1856666	1859059	+	1857862	Chr7A	12100259	12102581	-	12101420	0.999	0.932	rearrangement:Chr7A_block2
gene:TraesCS7A02G003800	Chr7A	1859674	1863710	-	1861692	Chr7A	12095612	12099641	+	12097626	0.992	0.985	rearrangement:Chr7A_block2
gene:TraesCS7A02G003900	Chr7A	1921361	1926772	+	1924066	Chr7A	12027501	12032788	-	12030144	0.954	0.952	rearrangement:Chr7A_block2
gene:TraesCS7A02G004000	Chr7A	1982279	1991986	+	1987132	Chr7A	11954701	11964416	-	11959558	0.991	0.987	rearrangement:Chr7A_block2
gene:TraesCS7A02G004900	Chr7A	2673772	2678182	+	2675977	Chr7A	10071432	10075744	-	10073588	0.957	0.939	rearrangement:Chr7A_block2
gene:TraesCS7A02G005100	Chr7A	2693834	2700660	-	2697247	Chr7A	11370243	11377014	+	11373628	0.996	0.987	rearrangement:Chr7A_block2
gene:TraesCS7A02G007500	Chr7A	3411625	3416122	+	3413873	Chr7A	10040366	10044850	+	10042608	0.987	0.933	rearrangement:Chr7A_block2
gene:TraesCS7A02G007882	Chr7A	3570736	3573905	-	3572320	Chr7A	10303661	10306832	+	10305246	1.0	0.997	rearrangement:Chr7A_block2
gene:TraesCS7A02G007900	Chr7A	3580873	3585505	+	3583189	Chr7A	10291888	10296514	-	10294201	0.976	0.951	rearrangement:Chr7A_block2
