cs_chr	cs_start	cs_end	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	n_anchors	mean_identity
Chr3B	13416193	28541029	Chr3B	15283906	29411713	177	0.991632768361582
Chr3B	342499416	344298264	Chr3B	351453042	353172201	4	0.99275
Chr3B	347801166	351289912	Chr3B	373385479	376236809	7	0.9955714285714284
Chr3B	358584653	360111849	Chr3B	381454747	383009862	4	0.9942500000000001
Chr3B	366151561	367477711	Chr3B	366762915	368608926	8	0.9966250000000001
Chr3B	367678075	370933637	Chr3B	392242403	395633795	18	0.9885000000000002
Chr3B	6945637	15166609	Chr3B	9992582	17359985	112	0.989455357142857
Chr3B	25907477	56749741	Chr3B	30314444	65767355	285	0.9894526315789473
Chr3B	59026241	85340142	Chr3B	67869099	95238461	288	0.9960451388888889
Chr3B	87718232	191189469	Chr3B	97605400	202047373	581	0.9950740103270225
Chr3B	193609697	195100861	Chr3B	204544669	206085231	10	0.9985999999999999
Chr3B	197792489	207735313	Chr3B	208918839	218884694	78	0.994551282051282
Chr3B	212297313	215012163	Chr3B	223740640	226249334	11	0.9939090909090911
Chr3B	219342949	230195021	Chr3B	229493752	242654839	49	0.9926938775510203
Chr3B	235855911	277099960	Chr3B	248132756	290161885	194	0.9956443298969072
Chr3B	283596077	284678121	Chr3B	297002100	298129678	4	0.992
Chr3B	292022415	296187942	Chr3B	304230788	308921628	4	0.9962500000000001
Chr3B	299132814	309615956	Chr3B	312388112	325377352	15	0.9970666666666668
Chr3B	312893801	317625373	Chr3B	327923326	333396935	7	0.9944285714285713
Chr3B	322293448	333455847	Chr3B	338101206	348885654	18	0.9926666666666666
Chr3B	340796436	341957943	Chr3B	353560771	354756732	3	0.9983333333333334
Chr3B	352239451	355438414	Chr3B	368829269	372440487	7	0.9962857142857142
Chr3B	361016338	363324584	Chr3B	378160466	380449083	6	0.997
Chr3B	371978296	466686636	Chr3B	387488398	485288684	490	0.9971897959183674
Chr3B	469640104	516001137	Chr3B	489281039	536314433	263	0.9962851711026617
Chr3B	518913010	819991172	Chr3B	541194462	847995365	2488	0.9950860128617363
Chr3B	822539849	830611341	Chr3B	848181282	856465083	99	0.9921212121212121
Chr3B	820427462	820904182	Chr3B	857847953	858239016	8	0.96875
Chr3B	821561534	822195043	Chr3B	856598766	857243316	11	0.9852727272727272
