cs_chr	cs_start	cs_end	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	n_anchors	mean_identity
Chr6A	409083846	422327656	Chr6A	428641429	441507875	51	0.9963725490196079
Chr6A	428070769	439297571	Chr6A	411949213	423046545	47	0.9962978723404254
Chr6A	17398116	162912229	Chr6A	17382183	162070241	1185	0.9955611814345989
Chr6A	166503285	172174207	Chr6A	165650721	171354423	30	0.9994666666666667
Chr6A	174450789	233957452	Chr6A	173620187	233001236	204	0.9979117647058824
Chr6A	241266065	242194840	Chr6A	240153894	240981477	3	0.9946666666666667
Chr6A	248542355	252837117	Chr6A	247320079	251576571	8	0.99125
Chr6A	254937051	261705155	Chr6A	253696441	260473533	20	0.9944000000000001
Chr6A	263891514	273262995	Chr6A	262687505	272344029	21	0.993857142857143
Chr6A	276303162	283930610	Chr6A	275602943	283253723	10	0.9984
Chr6A	286329591	290261504	Chr6A	285889067	294141483	8	0.9975
Chr6A	297672165	317154843	Chr6A	300184965	319962163	22	0.9978181818181817
Chr6A	321270304	324290097	Chr6A	324088458	327072515	8	0.9938750000000001
Chr6A	326393120	330049812	Chr6A	329231761	332866735	6	0.997
Chr6A	332183472	344185082	Chr6A	334927404	347250025	16	0.9934375
Chr6A	346572929	346594380	Chr6A	349678078	349702356	3	0.9986666666666667
Chr6A	351830716	353340072	Chr6A	355096218	356636957	4	0.9965
Chr6A	355403353	408043029	Chr6A	358631830	410842734	144	0.9965833333333332
Chr6A	423317150	427614159	Chr6A	423556240	427726179	21	0.9976190476190476
Chr6A	439667939	526117584	Chr6A	441801004	528594012	590	0.997764406779661
Chr6A	528949160	617932046	Chr6A	528626446	620133783	1149	0.9930174064403828
