cs_chr	cs_start	cs_end	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	n_anchors	mean_identity
Chr7A	239629	4021310	Chr7A	9007575	13628965	46	0.9831304347826088
Chr7A	9263210	13238297	Chr7A	284989	3949621	69	0.9874202898550724
Chr7A	81103331	81587611	Chr7A	72922652	73115459	6	0.9818333333333333
Chr7A	146678066	156566736	Chr7A	163466091	174046882	72	0.9959305555555557
Chr7A	161650971	171949346	Chr7A	146938365	157637982	96	0.9945625000000001
Chr7A	211205518	211732393	Chr7A	161037287	161602088	17	0.988764705882353
Chr7A	4069988	9109323	Chr7A	4170381	8988075	62	0.9760645161290321
Chr7A	13626624	71670370	Chr7A	13945553	72319308	653	0.9910964777947933
Chr7A	73730871	146026136	Chr7A	74435937	146210770	669	0.9955455904334828
Chr7A	157007452	161280272	Chr7A	157992725	163030055	16	0.9910625
Chr7A	171535728	311914665	Chr7A	174370172	313942256	684	0.9968698830409357
Chr7A	314415263	356369547	Chr7A	316442897	358357529	81	0.9982098765432099
Chr7A	359051136	360613751	Chr7A	361017326	362585530	3	0.999
Chr7A	362739671	388772773	Chr7A	368146974	394203784	38	0.9996578947368422
Chr7A	391904207	736698014	Chr7A	397348631	745886024	2516	0.9950779014308426
