gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	Julius_tgt_strand	Julius_tgt_midpoint	Julius_coverage	Julius_identity	segment
gene:TraesCS1B02G050200	Chr1B	30393964	30397094	+	30395529	Chr1B	24804957	24808094	+	24806525	0.991	0.98	rearrangement:Chr1B_block1
gene:TraesCS1B02G050300	Chr1B	30530310	30531153	+	30530731	Chr1B	24939711	24940554	+	24940132	1.0	1.0	rearrangement:Chr1B_block1
gene:TraesCS1B02G050400	Chr1B	30543633	30547236	+	30545434	Chr1B	24952324	24955927	+	24954125	1.0	1.0	rearrangement:Chr1B_block1
gene:TraesCS1B02G050500	Chr1B	30723311	30726962	+	30725136	Chr1B	25142816	25146086	+	25144451	1.0	0.996	rearrangement:Chr1B_block1
gene:TraesCS1B02G050600	Chr1B	30730083	30731757	-	30730920	Chr1B	25149258	25150932	-	25150095	1.0	0.996	rearrangement:Chr1B_block1
gene:TraesCS1B02G050700	Chr1B	30796056	30797339	-	30796697	Chr1B	25221223	25222506	-	25221864	1.0	0.997	rearrangement:Chr1B_block1
gene:TraesCS1B02G050800	Chr1B	30844359	30845297	+	30844828	Chr1B	25269152	25270090	+	25269621	1.0	1.0	rearrangement:Chr1B_block1
gene:TraesCS1B02G050900	Chr1B	30846307	30847158	-	30846732	Chr1B	25272691	25273542	-	25273116	1.0	1.0	rearrangement:Chr1B_block1
gene:TraesCS1B02G051000	Chr1B	30847183	30847674	-	30847428	Chr1B	25273567	25274058	-	25273812	1.0	1.0	rearrangement:Chr1B_block1
gene:TraesCS1B02G051100	Chr1B	30879167	30883218	-	30881192	Chr1B	25305413	25309442	-	25307427	0.984	0.984	rearrangement:Chr1B_block1
gene:TraesCS1B02G000100	Chr1B	168082	173741	-	170911	Chr1B	2280919	2286429	+	2283674	0.969	0.969	collinear
gene:TraesCS1B02G000200	Chr1B	459792	466556	-	463174	Chr1B	2001248	2007760	+	2004504	1.0	1.0	collinear
gene:TraesCS1B02G000300	Chr1B	711793	713476	+	712634	Chr1B	1757220	1758903	-	1758061	1.0	1.0	collinear
gene:TraesCS1B02G000400	Chr1B	721433	726438	-	723935	Chr1B	1744258	1749263	+	1746760	1.0	1.0	collinear
gene:TraesCS1B02G000500	Chr1B	882170	885188	-	883679	Chr1B	1588412	1591430	+	1589921	1.0	0.999	collinear
gene:TraesCS1B02G000600	Chr1B	1198799	1199794	+	1199296	Chr1B	1274464	1275427	-	1274945	0.956	0.956	collinear
gene:TraesCS1B02G000700	Chr1B	1201460	1203257	+	1202358	Chr1B	1269873	1271670	-	1270771	1.0	1.0	collinear
gene:TraesCS1B02G000800	Chr1B	1203582	1207214	-	1205398	Chr1B	1265917	1269549	+	1267733	1.0	1.0	collinear
gene:TraesCS1B02G000900	Chr1B	1208687	1213090	-	1210888	Chr1B	1260192	1264284	+	1262238	0.914	0.914	collinear
gene:TraesCS1B02G001000	Chr1B	1248713	1255880	+	1252296	Chr1B	1213752	1220883	-	1217317	0.987	0.987	collinear
gene:TraesCS1B02G001100	Chr1B	1258800	1260681	+	1259740	Chr1B	1208967	1210832	-	1209899	1.0	1.0	collinear
gene:TraesCS1B02G001200	Chr1B	1265734	1266622	-	1266178	Chr1B	1203063	1203951	+	1203507	1.0	1.0	collinear
gene:TraesCS1B02G001400	Chr1B	1272755	1344907	-	1308831	Chr1B	1124911	1196930	+	1160920	1.0	1.0	collinear
gene:TraesCS1B02G001500	Chr1B	1416127	1418511	+	1417319	Chr1B	1074760	1077144	-	1075952	1.0	1.0	collinear
gene:TraesCS1B02G001600	Chr1B	1419308	1422174	-	1420741	Chr1B	1071097	1073963	+	1072530	0.996	0.99	collinear
gene:TraesCS1B02G001700	Chr1B	1423557	1426829	-	1425193	Chr1B	1066989	1070090	+	1068539	0.998	0.984	collinear
gene:TraesCS1B02G001800	Chr1B	1430072	1436355	-	1433213	Chr1B	1027333	1033635	-	1030484	0.996	0.974	collinear
gene:TraesCS1B02G001900	Chr1B	1469939	1473067	+	1471503	Chr1B	1020984	1024073	-	1022528	1.0	0.987	collinear
gene:TraesCS1B02G002000	Chr1B	1522754	1534577	-	1528665	Chr1B	883579	895183	+	889381	0.992	0.969	collinear
gene:TraesCS1B02G005200	Chr1B	3200087	3213520	+	3206803	Chr1B	341301	354411	-	347856	0.996	0.99	collinear
gene:TraesCS1B02G005300	Chr1B	3269195	3273714	+	3271454	Chr1B	281703	285998	-	283850	1.0	1.0	collinear
gene:TraesCS1B02G005400	Chr1B	3562921	3563202	-	3563061	Chr1B	2485483	2485764	-	2485623	1.0	1.0	collinear
gene:TraesCS1B02G005500	Chr1B	3574035	3575832	-	3574933	Chr1B	2496598	2498395	-	2497496	1.0	1.0	collinear
gene:TraesCS1B02G005600	Chr1B	3655656	3658361	+	3657008	Chr1B	2569456	2572161	+	2570808	1.0	1.0	collinear
gene:TraesCS1B02G006000	Chr1B	3881677	3884665	+	3883171	Chr1B	2794238	2797226	+	2795732	1.0	0.992	collinear
gene:TraesCS1B02G006100	Chr1B	3894103	3896004	+	3895053	Chr1B	2806666	2808567	+	2807616	1.0	0.999	collinear
gene:TraesCS1B02G006200	Chr1B	3907235	3909968	+	3908601	Chr1B	2819050	2821782	+	2820416	0.999	0.987	collinear
gene:TraesCS1B02G006300	Chr1B	3923636	3931437	+	3927536	Chr1B	2835363	2843164	+	2839263	1.0	0.999	collinear
gene:TraesCS1B02G006400	Chr1B	3935552	3939101	+	3937326	Chr1B	2847279	2850581	+	2848930	1.0	1.0	collinear
gene:TraesCS1B02G006500	Chr1B	3942367	3945848	+	3944107	Chr1B	2853846	2857327	+	2855586	1.0	1.0	collinear
gene:TraesCS1B02G006600	Chr1B	3946949	3949045	-	3947997	Chr1B	2858428	2860524	-	2859476	1.0	1.0	collinear
gene:TraesCS1B02G006700	Chr1B	3952346	3954184	+	3953265	Chr1B	2863825	2865663	+	2864744	1.0	1.0	collinear
gene:TraesCS1B02G006800	Chr1B	3964540	3968018	+	3966279	Chr1B	2875928	2879406	+	2877667	1.0	1.0	collinear
gene:TraesCS1B02G006900	Chr1B	4053604	4072837	+	4063220	Chr1B	2963533	2982408	+	2972970	1.0	1.0	collinear
gene:TraesCS1B02G007000	Chr1B	4084892	4090923	+	4087907	Chr1B	3001833	3007864	+	3004848	1.0	1.0	collinear
gene:TraesCS1B02G007100	Chr1B	4097642	4099049	+	4098345	Chr1B	3014581	3015988	+	3015284	1.0	1.0	collinear
gene:TraesCS1B02G007200	Chr1B	4109172	4112312	+	4110742	Chr1B	3026111	3029251	+	3027681	1.0	1.0	collinear
gene:TraesCS1B02G007300	Chr1B	4143562	4146861	+	4145211	Chr1B	3060175	3063474	+	3061824	1.0	1.0	collinear
gene:TraesCS1B02G007400	Chr1B	4150736	4154830	+	4152783	Chr1B	3067349	3071443	+	3069396	1.0	0.999	collinear
gene:TraesCS1B02G007500	Chr1B	4205029	4208343	+	4206686	Chr1B	3122017	3125331	+	3123674	1.0	1.0	collinear
gene:TraesCS1B02G007600	Chr1B	4219905	4221185	+	4220545	Chr1B	3136697	3137977	+	3137337	1.0	1.0	collinear
gene:TraesCS1B02G007700	Chr1B	4222340	4225375	-	4223857	Chr1B	3139132	3142167	-	3140649	1.0	1.0	collinear
gene:TraesCS1B02G007800	Chr1B	4320651	4326770	-	4323710	Chr1B	3236751	3242870	-	3239810	1.0	1.0	collinear
gene:TraesCS1B02G007900	Chr1B	4340022	4343180	+	4341601	Chr1B	3255547	3258705	+	3257126	1.0	0.999	collinear
gene:TraesCS1B02G008000	Chr1B	4345220	4352718	-	4348969	Chr1B	3260725	3268223	-	3264474	1.0	1.0	collinear
gene:TraesCS1B02G008100	Chr1B	4463768	4464866	+	4464317	Chr1B	3432323	3433420	+	3432871	0.999	0.997	collinear
gene:TraesCS1B02G008200	Chr1B	4475908	4479190	+	4477549	Chr1B	3444361	3447643	+	3446002	1.0	0.997	collinear
gene:TraesCS1B02G008300	Chr1B	4480185	4481605	-	4480895	Chr1B	3448638	3450058	-	3449348	1.0	1.0	collinear
gene:TraesCS1B02G008400	Chr1B	4481925	4483673	-	4482799	Chr1B	3450378	3452126	-	3451252	1.0	0.998	collinear
gene:TraesCS1B02G008500	Chr1B	4506843	4510847	-	4508845	Chr1B	3475398	3479402	-	3477400	1.0	0.997	collinear
gene:TraesCS1B02G008600	Chr1B	4516817	4520149	-	4518483	Chr1B	3485375	3488707	-	3487041	1.0	0.999	collinear
gene:TraesCS1B02G008700	Chr1B	4529176	4530521	-	4529848	Chr1B	3497708	3499053	-	3498380	1.0	0.999	collinear
gene:TraesCS1B02G008800	Chr1B	4532497	4534896	-	4533696	Chr1B	3501075	3503474	-	3502274	1.0	0.998	collinear
gene:TraesCS1B02G008900	Chr1B	4539577	4543678	-	4541627	Chr1B	3508155	3512256	-	3510205	1.0	1.0	collinear
gene:TraesCS1B02G008952	Chr1B	4549817	4550131	-	4549974	Chr1B	3518395	3518709	-	3518552	1.0	1.0	collinear
gene:TraesCS1B02G009000	Chr1B	4558157	4561563	-	4559860	Chr1B	3526736	3530141	-	3528438	0.999	0.998	collinear
gene:TraesCS1B02G009100	Chr1B	4579004	4580518	-	4579761	Chr1B	3546266	3547780	-	3547023	1.0	0.998	collinear
gene:TraesCS1B02G009200	Chr1B	4586788	4591608	-	4589198	Chr1B	3555030	3559850	-	3557440	1.0	0.999	collinear
gene:TraesCS1B02G009300	Chr1B	4595787	4597245	-	4596516	Chr1B	3564029	3565489	-	3564759	1.0	0.958	collinear
gene:TraesCS1B02G010600	Chr1B	5003864	5004817	-	5004340	Chr1B	4389008	4389962	+	4389485	1.0	0.978	collinear
gene:TraesCS1B02G010900	Chr1B	5137077	5138111	+	5137594	Chr1B	4669645	4670631	+	4670138	0.953	0.952	collinear
gene:TraesCS1B02G011000	Chr1B	5142047	5142922	+	5142484	Chr1B	4674567	4675442	+	4675004	1.0	1.0	collinear
gene:TraesCS1B02G011100	Chr1B	5157094	5160358	+	5158726	Chr1B	4690144	4693408	+	4691776	1.0	0.999	collinear
gene:TraesCS1B02G011200	Chr1B	5159471	5159817	-	5159644	Chr1B	4692521	4692867	-	4692694	1.0	1.0	collinear
gene:TraesCS1B02G011300	Chr1B	5175575	5176186	+	5175880	Chr1B	4708629	4709240	+	4708934	1.0	0.998	collinear
gene:TraesCS1B02G011400	Chr1B	5177355	5177573	+	5177464	Chr1B	4710408	4710626	+	4710517	1.0	0.995	collinear
