gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	MOV_tgt_strand	MOV_tgt_midpoint	MOV_coverage	MOV_identity
gene:TraesCS3A03G0000100	Chr3A	26146	30400	+	28273	Chr3A	700288	704523	+	702405	1.0	0.998
gene:TraesCS3A03G0000200	Chr3A	53676	57493	-	55584	Chr3A	727848	731665	-	729756	1.0	1.0
gene:TraesCS3A03G0000300	Chr3A	96529	96813	+	96671	Chr3A	770706	770990	+	770848	1.0	1.0
gene:TraesCS3A03G0000600	Chr3A	170523	170900	+	170711	Chr3A	844634	845011	+	844822	1.0	1.0
gene:TraesCS3A03G0002400	Chr3A	721607	725654	-	723630	Chr3A	1336825	1340870	-	1338847	0.998	0.997
gene:TraesCS3A03G0002600	Chr3A	730535	733253	-	731894	Chr3A	1345669	1348387	-	1347028	1.0	0.998
gene:TraesCS3A03G0002700	Chr3A	747197	753779	+	750488	Chr3A	1383510	1390017	+	1386763	0.966	0.952
gene:TraesCS3A03G0002800	Chr3A	762529	765599	+	764064	Chr3A	1395624	1398786	+	1397205	1.0	0.982
gene:TraesCS3A03G0003000	Chr3A	954676	957962	+	956319	Chr3A	1551922	1555208	+	1553565	1.0	1.0
gene:TraesCS3A03G0003300	Chr3A	983733	985531	+	984632	Chr3A	1591165	1592963	+	1592064	1.0	0.999
gene:TraesCS3A03G0003600	Chr3A	1030844	1033134	+	1031989	Chr3A	1638273	1640563	+	1639418	1.0	1.0
gene:TraesCS3A03G0003900	Chr3A	1064790	1066982	+	1065886	Chr3A	1672229	1674421	+	1673325	1.0	1.0
gene:TraesCS3A03G0004000	Chr3A	1075288	1077959	+	1076623	Chr3A	1682722	1685393	+	1684057	1.0	1.0
gene:TraesCS3A03G0004300	Chr3A	1094785	1098146	+	1096465	Chr3A	1702242	1705603	+	1703922	1.0	0.999
gene:TraesCS3A03G0004600	Chr3A	1117240	1120441	+	1118840	Chr3A	1724358	1727559	+	1725958	1.0	1.0
gene:TraesCS3A03G0004800	Chr3A	1608981	1609485	+	1609233	Chr3A	2171968	2172472	+	2172220	1.0	1.0
gene:TraesCS3A03G0004900	Chr3A	1614046	1614462	+	1614254	Chr3A	2177033	2177449	+	2177241	1.0	1.0
gene:TraesCS3A03G0005000	Chr3A	1668456	1668815	+	1668635	Chr3A	2217933	2218292	+	2218112	1.0	1.0
gene:TraesCS3A03G0005300	Chr3A	1686660	1687091	+	1686875	Chr3A	2236134	2236565	+	2236349	1.0	1.0
gene:TraesCS3A03G0005500	Chr3A	1712162	1713083	+	1712622	Chr3A	2261639	2262560	+	2262099	1.0	0.998
gene:TraesCS3A03G0005900	Chr3A	1800445	1803196	-	1801820	Chr3A	2349945	2352698	-	2351321	1.0	1.0
gene:TraesCS3A03G0006000	Chr3A	1805228	1805714	-	1805471	Chr3A	2354730	2355216	-	2354973	1.0	1.0
gene:TraesCS3A03G0006600	Chr3A	1861996	1862403	+	1862199	Chr3A	2411515	2411922	+	2411718	1.0	1.0
gene:TraesCS3A03G0006800	Chr3A	1872412	1874269	+	1873340	Chr3A	2421935	2423941	+	2422938	1.0	1.0
