cs_chr	cs_start	cs_end	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	n_anchors	mean_identity
Chr7A	150446304	159414879	Chr7A	167008090	176620460	64	0.9955
Chr7A	168565203	177718876	Chr7A	149684017	158510652	75	0.9949733333333334
Chr7A	239033	74955432	Chr7A	298080	74869164	831	0.9901660649819493
Chr7A	79391409	149795904	Chr7A	75553520	148967462	669	0.9967189835575485
Chr7A	159713730	168492143	Chr7A	158603709	166724939	66	0.9933484848484849
Chr7A	176812931	264876451	Chr7A	177071173	264272739	487	0.9975790554414785
Chr7A	271131775	316231457	Chr7A	264602167	309539244	171	0.9988888888888889
Chr7A	318780197	364830171	Chr7A	312023759	358402652	85	0.9994705882352941
Chr7A	367537951	393376082	Chr7A	362788335	388594195	38	0.9997368421052634
Chr7A	396497557	539588067	Chr7A	391714422	535660526	631	0.9980000000000001
Chr7A	556971599	565536295	Chr7A	549481725	558050178	81	0.9983456790123457
Chr7A	579965293	632839019	Chr7A	576166024	628827488	338	0.990585798816568
Chr7A	634937911	648681504	Chr7A	629303305	642586551	131	0.9920687022900765
Chr7A	656283176	734393981	Chr7A	642754274	725434515	906	0.9954668874172186
Chr7A	737674485	744483656	Chr7A	725989837	732379022	82	0.9860975609756097
Chr7A	539898959	556613353	Chr7A	558407303	575358233	153	0.9987908496732026
Chr7A	565619197	579154405	Chr7A	535976203	549398682	104	0.9942499999999999
