cs_chr	cs_start	cs_end	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	n_anchors	mean_identity
Chr6D	1750693	27630303	Chr6D	459	24371342	438	0.9987077625570776
Chr6D	32741204	38579793	Chr6D	29354721	37453607	93	0.999483870967742
Chr6D	41537060	46120294	Chr6D	40520890	45160428	67	0.999134328358209
Chr6D	49876700	56759409	Chr6D	51984284	59949882	59	0.9985084745762712
Chr6D	64544097	186375773	Chr6D	68395526	190290427	947	0.999284054910243
Chr6D	188380630	191219382	Chr6D	192272910	195108368	15	0.9997333333333334
Chr6D	203260384	235958205	Chr6D	196637121	228491576	45	0.999688888888889
Chr6D	238222872	248745870	Chr6D	229973706	240469811	15	0.9994
Chr6D	253451229	261093398	Chr6D	245172328	252803103	12	0.9998333333333336
Chr6D	263489417	298975533	Chr6D	255197512	290520666	135	0.9989185185185184
Chr6D	321546672	370496290	Chr6D	291018779	339865038	336	0.9997083333333334
Chr6D	409290886	436495956	Chr6D	340021723	367106969	258	0.9996782945736437
Chr6D	439160889	457734897	Chr6D	369765547	392258426	260	0.9993961538461535
Chr6D	461146900	495303957	Chr6D	394043735	430649528	628	0.9954315286624206
