cs_chr	cs_start	cs_end	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	n_anchors	mean_identity
Chr5D	298647	31297069	Chr5D	582734	35941664	319	0.999128526645768
Chr5D	45176237	96397858	Chr5D	36343241	87429249	418	0.9996650717703349
Chr5D	100617776	143714900	Chr5D	88224871	135187351	246	0.9998292682926829
Chr5D	151476064	157224863	Chr5D	142676500	148390221	5	0.9968
Chr5D	159442500	185711594	Chr5D	149357118	175605458	51	0.9993529411764706
Chr5D	199741740	219314956	Chr5D	162531386	203460670	92	0.9997282608695651
Chr5D	250440907	254236025	Chr5D	203899662	207674299	21	0.9999523809523809
Chr5D	259910389	352365433	Chr5D	208200945	300448584	736	0.9993559782608695
Chr5D	363005613	377930640	Chr5D	301113151	316233580	178	0.999
Chr5D	381318263	462143611	Chr5D	316361320	399368798	1123	0.9995031166518255
Chr5D	465265025	564505093	Chr5D	399663413	500260344	1529	0.9980909090909091
