cs_chr	cs_start	cs_end	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	n_anchors	mean_identity
Chr5A	27603967	28405389	Chr5A	424704701	425422328	9	0.9957777777777778
Chr5A	29877227	30630763	Chr5A	426860558	427603487	6	0.9958333333333332
Chr5A	127176529	128250251	Chr5A	195645212	196719470	8	0.9998750000000001
Chr5A	128853490	129758198	Chr5A	197319931	198223014	8	1.0
Chr5A	130426094	131840647	Chr5A	198889522	200295723	17	0.9998823529411766
Chr5A	1543362	27022882	Chr5A	1494492	28811031	253	0.9937826086956523
Chr5A	30888279	62409843	Chr5A	29263809	61652996	273	0.9964432234432234
Chr5A	65256920	123692464	Chr5A	64957116	123352379	292	0.9992054794520547
Chr5A	133105364	152899436	Chr5A	123583900	143083092	72	0.9995277777777779
Chr5A	156754150	160718182	Chr5A	146929227	151057173	13	0.9999230769230769
Chr5A	163084098	174235485	Chr5A	153408106	164518167	25	0.99956
Chr5A	178246382	182449906	Chr5A	166095543	170276904	8	1.0
Chr5A	184871905	187078746	Chr5A	172692844	174892933	4	1.0
Chr5A	192446609	200581324	Chr5A	180225080	188333181	16	0.9998125
Chr5A	204816399	207150312	Chr5A	192584410	194914844	3	0.9996666666666667
Chr5A	216831854	224020772	Chr5A	201587426	208779087	13	0.9993076923076922
Chr5A	226098410	249706915	Chr5A	210853520	243334405	58	0.9996896551724138
Chr5A	259606122	297261667	Chr5A	243908200	281386007	111	0.9994684684684685
Chr5A	299330270	419534874	Chr5A	282164343	401196520	710	0.9988943661971832
Chr5A	421978680	428812755	Chr5A	404040404	410682502	62	0.9958548387096774
Chr5A	431918117	508529621	Chr5A	410977497	492583022	799	0.9968235294117649
Chr5A	512455258	596593118	Chr5A	493094343	576703412	947	0.9966409714889124
Chr5A	605597701	708111589	Chr5A	577013617	685302027	1297	0.9967332305319968
