cs_chr	cs_start	cs_end	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	n_anchors	mean_identity
Chr5B	18593	10108378	Chr5B	153215	15357416	86	0.9933255813953488
Chr5B	13960704	27154421	Chr5B	15527532	31000580	106	0.9904150943396226
Chr5B	31243587	60983560	Chr5B	31610466	58360148	212	0.99275
Chr5B	63062528	103493694	Chr5B	59110596	100750681	232	0.9965086206896552
Chr5B	107210786	150534843	Chr5B	100859397	143991341	233	0.9980472103004292
Chr5B	156140427	156551532	Chr5B	144061674	144477390	3	0.9983333333333334
Chr5B	158568371	169148558	Chr5B	145681447	156098894	18	0.9971111111111112
Chr5B	183242498	184235419	Chr5B	158455075	159740349	3	0.9983333333333334
Chr5B	186965415	190559374	Chr5B	160157751	163733307	8	0.998375
Chr5B	206148489	220083143	Chr5B	165551700	178671115	48	0.99875
Chr5B	222313523	239465934	Chr5B	180683267	198151237	70	0.9965
Chr5B	252203486	269103530	Chr5B	200830026	217627453	74	0.9995810810810812
Chr5B	282185557	319172379	Chr5B	218062571	256162863	194	0.9965618556701032
Chr5B	330738873	342610481	Chr5B	256328963	268154716	80	0.998225
Chr5B	346985936	386215007	Chr5B	284605359	323817591	214	0.9974672897196262
Chr5B	389314561	433621103	Chr5B	324105547	369488914	341	0.99733137829912
Chr5B	440926965	445070355	Chr5B	369892662	374364719	46	0.9998695652173912
Chr5B	450302907	460445644	Chr5B	374531725	385150376	92	0.996891304347826
Chr5B	468061757	497658816	Chr5B	385504578	416460626	316	0.9941867088607595
Chr5B	532816272	542155851	Chr5B	418617192	428318768	79	0.980873417721519
Chr5B	550665708	578160677	Chr5B	428871750	455811765	258	0.9952364341085272
Chr5B	580376825	595121244	Chr5B	456208992	471045761	164	0.9954512195121952
Chr5B	608681986	629365797	Chr5B	472441164	493157612	221	0.9946968325791854
Chr5B	635227376	642556615	Chr5B	494689399	501783377	94	0.996382978723404
Chr5B	644843521	682999269	Chr5B	502220021	535713142	416	0.9937620192307692
Chr5B	690468478	692498639	Chr5B	535866474	537800310	41	0.9938292682926833
Chr5B	700915644	714671459	Chr5B	547375189	566188121	235	0.9938127659574468
