gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	MOV_tgt_strand	MOV_tgt_midpoint	MOV_coverage	MOV_identity	segment
gene:TraesCS3D03G0051800	Chr3D	10347697	10348291	-	10347994	Chr3D	162995	163589	+	163292	0.997	0.99	collinear
gene:TraesCS3D03G0052000	Chr3D	10367251	10369760	-	10368505	Chr3D	141743	144252	+	142997	1.0	1.0	collinear
gene:TraesCS3D03G0052200	Chr3D	10412012	10415061	+	10413536	Chr3D	96663	99712	-	98187	1.0	0.999	collinear
gene:TraesCS3D03G0052300	Chr3D	10417155	10419866	+	10418510	Chr3D	91858	94569	-	93213	1.0	1.0	collinear
gene:TraesCS3D03G0052400	Chr3D	10474435	10478449	-	10476442	Chr3D	33325	37339	+	35332	1.0	1.0	collinear
gene:TraesCS3D03G0052800	Chr3D	10599469	10601719	+	10600594	Chr3D	238308	240558	+	239433	1.0	1.0	collinear
gene:TraesCS3D03G0053000	Chr3D	10616718	10619972	+	10618345	Chr3D	255560	258814	+	257187	1.0	1.0	collinear
gene:TraesCS3D03G0053100	Chr3D	10620906	10626048	-	10623477	Chr3D	259755	264921	-	262338	1.0	1.0	collinear
gene:TraesCS3D03G0053200	Chr3D	10632072	10633414	+	10632743	Chr3D	270945	272287	+	271616	1.0	1.0	collinear
gene:TraesCS3D03G0053400	Chr3D	10679533	10680785	+	10680159	Chr3D	318404	319656	+	319030	1.0	1.0	collinear
gene:TraesCS3D03G0053500	Chr3D	10703482	10703703	-	10703592	Chr3D	342415	342636	-	342525	1.0	1.0	collinear
gene:TraesCS3D03G0053600	Chr3D	10759523	10760607	+	10760065	Chr3D	398644	399728	+	399186	1.0	1.0	collinear
gene:TraesCS3D03G0053700	Chr3D	10778523	10779359	-	10778941	Chr3D	432057	432893	-	432475	1.0	1.0	collinear
gene:TraesCS3D03G0054000	Chr3D	10852987	10853766	-	10853376	Chr3D	506264	507043	-	506653	1.0	1.0	collinear
gene:TraesCS3D03G0054300	Chr3D	10941650	10943429	+	10942539	Chr3D	593596	595375	+	594485	1.0	1.0	collinear
gene:TraesCS3D03G0054500	Chr3D	11120492	11122426	-	11121459	Chr3D	772018	773952	-	772985	1.0	1.0	collinear
gene:TraesCS3D03G0054800	Chr3D	11252272	11253486	-	11252879	Chr3D	903657	904871	-	904264	1.0	1.0	collinear
gene:TraesCS3D03G0054900	Chr3D	11286658	11287556	+	11287107	Chr3D	938026	938924	+	938475	1.0	1.0	collinear
gene:TraesCS3D03G0055000	Chr3D	11295083	11317146	+	11306114	Chr3D	946452	968516	+	957484	1.0	1.0	collinear
gene:TraesCS3D03G0055300	Chr3D	11322770	11324427	+	11323598	Chr3D	974139	975796	+	974967	1.0	1.0	collinear
gene:TraesCS3D03G0055200	Chr3D	11319775	11327829	-	11323802	Chr3D	971144	979201	-	975172	1.0	1.0	collinear
gene:TraesCS3D03G0055400	Chr3D	11331377	11332102	+	11331739	Chr3D	982758	983483	+	983120	1.0	1.0	collinear
gene:TraesCS3D03G0055600	Chr3D	11353894	11355493	+	11354693	Chr3D	1005277	1006876	+	1006076	1.0	0.999	collinear
gene:TraesCS3D03G0055900	Chr3D	11376093	11377937	-	11377015	Chr3D	1027467	1029311	-	1028389	1.0	1.0	collinear
gene:TraesCS3D03G0056000	Chr3D	11393436	11394749	-	11394092	Chr3D	1044809	1046122	-	1045465	1.0	1.0	collinear
gene:TraesCS3D03G0056200	Chr3D	11405206	11409716	-	11407461	Chr3D	1056579	1061089	-	1058834	1.0	1.0	collinear
gene:TraesCS3D03G0056600	Chr3D	11534102	11536601	+	11535351	Chr3D	1185300	1187799	+	1186549	1.0	1.0	collinear
gene:TraesCS3D03G0056700	Chr3D	11540557	11543658	-	11542107	Chr3D	1191755	1194856	-	1193305	1.0	1.0	collinear
gene:TraesCS3D03G0056800	Chr3D	11550973	11552851	+	11551912	Chr3D	1202171	1204049	+	1203110	1.0	1.0	collinear
gene:TraesCS3D03G0057000	Chr3D	11559878	11561362	+	11560620	Chr3D	1211076	1212560	+	1211818	1.0	1.0	collinear
gene:TraesCS3D03G0057300	Chr3D	11689821	11691280	+	11690550	Chr3D	1341030	1342489	+	1341759	1.0	1.0	collinear
gene:TraesCS3D03G0057400	Chr3D	11705237	11710330	+	11707783	Chr3D	1356446	1361539	+	1358992	1.0	1.0	collinear
gene:TraesCS3D03G0057500	Chr3D	11713717	11720888	+	11717302	Chr3D	1364793	1371964	+	1368378	1.0	1.0	collinear
gene:TraesCS3D03G0057600	Chr3D	11729168	11730860	-	11730014	Chr3D	1380244	1381936	-	1381090	1.0	1.0	collinear
gene:TraesCS3D03G0057800	Chr3D	11753029	11754712	+	11753870	Chr3D	1404106	1405789	+	1404947	1.0	1.0	collinear
gene:TraesCS3D03G0057900	Chr3D	11773840	11775966	-	11774903	Chr3D	1425077	1427203	-	1426140	1.0	1.0	collinear
gene:TraesCS3D03G0058400	Chr3D	11929579	11935018	+	11932298	Chr3D	1629823	1635262	+	1632542	1.0	1.0	collinear
gene:TraesCS3D03G0058500	Chr3D	11939031	11942557	+	11940794	Chr3D	1639275	1642801	+	1641038	1.0	0.999	collinear
gene:TraesCS3D03G0058600	Chr3D	12051723	12053124	-	12052423	Chr3D	1751817	1753218	-	1752517	1.0	1.0	collinear
gene:TraesCS3D03G0059000	Chr3D	12145088	12149650	-	12147369	Chr3D	1845185	1849747	-	1847466	1.0	0.999	collinear
gene:TraesCS3D03G0059200	Chr3D	12184720	12185958	+	12185339	Chr3D	1884822	1886060	+	1885441	1.0	0.998	collinear
gene:TraesCS3D03G0059300	Chr3D	12194738	12200764	-	12197751	Chr3D	1894850	1900876	-	1897863	1.0	1.0	collinear
gene:TraesCS3D03G0059500	Chr3D	12231058	12234059	+	12232558	Chr3D	1931172	1934173	+	1932672	1.0	1.0	collinear
gene:TraesCS3D03G0059600	Chr3D	12238171	12239093	+	12238632	Chr3D	1938285	1939207	+	1938746	1.0	1.0	collinear
gene:TraesCS3D03G0059700	Chr3D	12254168	12256167	-	12255167	Chr3D	1954274	1956273	-	1955273	1.0	1.0	collinear
gene:TraesCS3D03G0060200	Chr3D	12307575	12308744	-	12308159	Chr3D	2007754	2008923	-	2008338	1.0	1.0	collinear
gene:TraesCS3D03G0060300	Chr3D	12312383	12313360	+	12312871	Chr3D	2012562	2013539	+	2013050	1.0	1.0	collinear
gene:TraesCS3D03G0060400	Chr3D	12328239	12330238	+	12329238	Chr3D	2028429	2030427	+	2029428	0.999	0.999	collinear
gene:TraesCS3D03G0060600	Chr3D	12338508	12339926	+	12339217	Chr3D	2038695	2040113	+	2039404	1.0	1.0	collinear
gene:TraesCS3D03G0060900	Chr3D	12373634	12374040	+	12373837	Chr3D	2073857	2074263	+	2074060	1.0	1.0	collinear
gene:TraesCS3D03G0061000	Chr3D	12374733	12375842	-	12375287	Chr3D	2074956	2076065	-	2075510	1.0	1.0	collinear
gene:TraesCS3D03G0061200	Chr3D	12385127	12385551	-	12385339	Chr3D	2085343	2085767	-	2085555	1.0	1.0	collinear
gene:TraesCS3D03G0061300	Chr3D	12406781	12407953	-	12407367	Chr3D	2107003	2108175	-	2107589	1.0	1.0	collinear
gene:TraesCS3D03G0061400	Chr3D	12409401	12410057	+	12409729	Chr3D	2109623	2110279	+	2109951	1.0	1.0	collinear
