gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	MOV_tgt_strand	MOV_tgt_midpoint	MOV_coverage	MOV_identity	segment
gene:TraesCS3B03G0003000	Chr3B	859122	864220	-	861671	Chr3B	153019	158014	-	155516	0.982	0.929	collinear
gene:TraesCS3B03G0004000	Chr3B	1309880	1313738	-	1311809	Chr3B	561627	565437	-	563532	0.981	0.94	collinear
gene:TraesCS3B03G0004300	Chr3B	1602640	1607005	+	1604822	Chr3B	833435	837803	+	835619	0.994	0.991	collinear
gene:TraesCS3B03G0004400	Chr3B	1638604	1641896	-	1640250	Chr3B	905881	909174	-	907527	1.0	0.997	collinear
gene:TraesCS3B03G0004600	Chr3B	1708407	1711540	-	1709973	Chr3B	1120826	1123731	-	1122278	0.981	0.92	collinear
gene:TraesCS3B03G0004800	Chr3B	1754066	1758349	-	1756207	Chr3B	1131056	1135405	-	1133230	0.993	0.946	collinear
gene:TraesCS3B03G0004900	Chr3B	1761903	1763502	+	1762702	Chr3B	1148580	1150128	+	1149354	0.98	0.937	collinear
gene:TraesCS3B03G0005100	Chr3B	2229591	2231019	+	2230305	Chr3B	1303359	1304809	+	1304084	0.998	0.974	collinear
gene:TraesCS3B03G0005200	Chr3B	2238754	2241107	-	2239930	Chr3B	1319787	1322052	-	1320919	0.999	0.99	collinear
gene:TraesCS3B03G0005300	Chr3B	2251630	2253405	-	2252517	Chr3B	1336181	1338156	-	1337168	0.976	0.957	collinear
gene:TraesCS3B03G0005600	Chr3B	2279997	2282921	-	2281459	Chr3B	1512440	1515372	+	1513906	0.996	0.97	collinear
gene:TraesCS3B03G0005700	Chr3B	2296800	2299629	-	2298214	Chr3B	1480556	1483388	+	1481972	1.0	0.968	collinear
gene:TraesCS3B03G0005800	Chr3B	2305509	2308573	-	2307041	Chr3B	1467813	1470925	+	1469369	0.996	0.909	collinear
gene:TraesCS3B03G0006100	Chr3B	2390285	2392680	-	2391482	Chr3B	1408134	1410526	+	1409330	1.0	0.996	collinear
gene:TraesCS3B03G0006400	Chr3B	2414282	2422889	+	2418585	Chr3B	1382471	1391153	-	1386812	1.0	0.993	collinear
gene:TraesCS3B03G0006500	Chr3B	2431101	2434170	+	2432635	Chr3B	1372300	1375318	-	1373809	0.985	0.973	collinear
gene:TraesCS3B03G0006600	Chr3B	2442622	2445483	+	2444052	Chr3B	1361456	1364313	-	1362884	0.995	0.99	collinear
gene:TraesCS3B03G0006700	Chr3B	2457176	2459341	+	2458258	Chr3B	1347630	1349793	-	1348711	1.0	0.986	collinear
gene:TraesCS3B03G0007000	Chr3B	2478261	2480528	+	2479394	Chr3B	1565414	1567648	+	1566531	0.991	0.96	collinear
gene:TraesCS3B03G0007400	Chr3B	2539959	2542446	+	2541202	Chr3B	1612377	1614823	+	1613600	0.979	0.974	collinear
gene:TraesCS3B03G0007900	Chr3B	2607986	2611253	+	2609619	Chr3B	1621374	1624642	+	1623008	1.0	0.994	collinear
gene:TraesCS3B03G0008000	Chr3B	2618273	2621910	+	2620091	Chr3B	1633795	1637437	+	1635616	1.0	0.992	collinear
gene:TraesCS3B03G0008200	Chr3B	2625685	2627229	+	2626457	Chr3B	1641767	1643313	+	1642540	1.0	0.98	collinear
gene:TraesCS3B03G0008300	Chr3B	2637952	2639202	+	2638577	Chr3B	1645648	1646898	+	1646273	1.0	0.992	collinear
gene:TraesCS3B03G0008400	Chr3B	2640962	2642991	+	2641976	Chr3B	1648783	1650778	+	1649780	1.0	0.997	collinear
gene:TraesCS3B03G0008500	Chr3B	2644992	2648624	+	2646808	Chr3B	1652785	1656409	+	1654597	1.0	0.995	collinear
gene:TraesCS3B03G0008700	Chr3B	2650047	2654817	+	2652432	Chr3B	1657664	1662442	+	1660053	1.0	0.998	collinear
gene:TraesCS3B03G0008900	Chr3B	3142976	3145283	+	3144129	Chr3B	2054221	2056337	+	2055279	1.0	0.995	collinear
gene:TraesCS3B03G0009200	Chr3B	3160490	3162733	+	3161611	Chr3B	2063847	2066108	+	2064977	1.0	0.983	collinear
gene:TraesCS3B03G0010000	Chr3B	3288829	3291388	-	3290108	Chr3B	2239371	2241930	-	2240650	1.0	0.994	collinear
gene:TraesCS3B03G0010400	Chr3B	3319309	3319678	-	3319493	Chr3B	2307929	2308298	-	2308113	1.0	1.0	collinear
gene:TraesCS3B03G0011700	Chr3B	3476475	3479401	+	3477938	Chr3B	2719673	2722598	+	2721135	0.997	0.995	collinear
gene:TraesCS3B03G0011800	Chr3B	3481462	3493401	+	3487431	Chr3B	2724649	2736594	+	2730621	1.0	0.998	collinear
gene:TraesCS3B03G0011900	Chr3B	3509554	3512426	-	3510990	Chr3B	2753929	2756803	-	2755366	1.0	0.996	collinear
gene:TraesCS3B03G0012000	Chr3B	3519251	3522305	+	3520778	Chr3B	2763743	2766797	+	2765270	1.0	0.996	collinear
gene:TraesCS3B03G0012100	Chr3B	3524408	3531567	-	3527987	Chr3B	2768908	2775968	-	2772438	0.993	0.952	collinear
gene:TraesCS3B03G0012200	Chr3B	3646467	3646898	+	3646682	Chr3B	2813669	2814109	+	2813889	1.0	0.972	collinear
gene:TraesCS3B03G0012800	Chr3B	3758382	3758978	-	3758680	Chr3B	2909142	2909737	-	2909439	0.997	0.965	collinear
gene:TraesCS3B03G0013400	Chr3B	3821480	3821881	+	3821680	Chr3B	4179109	4179510	+	4179309	1.0	0.977	collinear
gene:TraesCS3B03G0013500	Chr3B	3852505	3853085	+	3852795	Chr3B	4225640	4226214	+	4225927	0.987	0.977	collinear
gene:TraesCS3B03G0013600	Chr3B	3877659	3878072	+	3877865	Chr3B	4244419	4244832	+	4244625	1.0	0.995	collinear
gene:TraesCS3B03G0013700	Chr3B	3890065	3890949	+	3890507	Chr3B	4256829	4257713	+	4257271	1.0	0.996	collinear
gene:TraesCS3B03G0013800	Chr3B	3892768	3893685	+	3893226	Chr3B	4259530	4260447	+	4259988	1.0	0.997	collinear
