gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	MOV_tgt_strand	MOV_tgt_midpoint	MOV_coverage	MOV_identity
gene:TraesCS5D03G0000300	Chr5D	295745	301549	-	298647	Chr5D	579834	585634	-	582734	0.997	0.993
gene:TraesCS5D03G0000400	Chr5D	306801	310996	+	308898	Chr5D	590885	595080	+	592982	1.0	0.999
gene:TraesCS5D03G0000500	Chr5D	475881	477308	+	476594	Chr5D	758853	760280	+	759566	1.0	1.0
gene:TraesCS5D03G0000600	Chr5D	504194	504526	-	504360	Chr5D	1000389	1000721	-	1000555	1.0	0.996
gene:TraesCS5D03G0000700	Chr5D	504194	504552	-	504373	Chr5D	1000389	1000747	-	1000568	1.0	0.997
gene:TraesCS5D03G0000900	Chr5D	716462	716794	-	716628	Chr5D	787163	787495	-	787329	1.0	1.0
gene:TraesCS5D03G0001100	Chr5D	763156	767483	-	765319	Chr5D	1047071	1051420	-	1049245	1.0	1.0
gene:TraesCS5D03G0001300	Chr5D	929486	932500	+	930993	Chr5D	1213551	1216565	+	1215058	1.0	1.0
gene:TraesCS5D03G0001500	Chr5D	932731	938642	-	935686	Chr5D	1216796	1222708	-	1219752	1.0	1.0
gene:TraesCS5D03G0001700	Chr5D	1529495	1530538	+	1530016	Chr5D	1811005	1812048	+	1811526	1.0	1.0
gene:TraesCS5D03G0001900	Chr5D	1537103	1539147	-	1538125	Chr5D	1818612	1820656	-	1819634	1.0	0.992
gene:TraesCS5D03G0002100	Chr5D	1605131	1610309	+	1607720	Chr5D	1886601	1891779	+	1889190	1.0	1.0
gene:TraesCS5D03G0002300	Chr5D	1705168	1712206	-	1708687	Chr5D	1986419	1993457	-	1989938	1.0	1.0
gene:TraesCS5D03G0002500	Chr5D	1803394	1806327	+	1804860	Chr5D	2084648	2087581	+	2086114	1.0	1.0
gene:TraesCS5D03G0002700	Chr5D	1866423	1868501	+	1867462	Chr5D	2147670	2149383	+	2148526	1.0	1.0
gene:TraesCS5D03G0002900	Chr5D	1887729	1890428	-	1889078	Chr5D	2167903	2170602	-	2169252	1.0	1.0
gene:TraesCS5D03G0003000	Chr5D	2120086	2120451	-	2120268	Chr5D	2400179	2400544	-	2400361	1.0	1.0
gene:TraesCS5D03G0003100	Chr5D	2121153	2121944	+	2121548	Chr5D	2401246	2402037	+	2401641	1.0	1.0
gene:TraesCS5D03G0003200	Chr5D	2135387	2142134	+	2138760	Chr5D	2415478	2422225	+	2418851	1.0	1.0
gene:TraesCS5D03G0003400	Chr5D	2251213	2252857	-	2252035	Chr5D	2531351	2532995	-	2532173	1.0	1.0
gene:TraesCS5D03G0003500	Chr5D	2286363	2288714	+	2287538	Chr5D	2566500	2568853	+	2567676	1.0	1.0
gene:TraesCS5D03G0003600	Chr5D	2291637	2302490	+	2297063	Chr5D	2571776	2582637	+	2577206	1.0	0.995
gene:TraesCS5D03G0003700	Chr5D	2517220	2518242	-	2517731	Chr5D	2795464	2796486	-	2795975	1.0	0.999
