gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	MOV_tgt_strand	MOV_tgt_midpoint	MOV_coverage	MOV_identity	segment
gene:TraesCS1A03G0009000	Chr1A	2567417	2577225	+	2572321	Chr1A	1811655	1821463	+	1816559	1.0	1.0	collinear
gene:TraesCS1A03G0009200	Chr1A	2579251	2580660	+	2579955	Chr1A	1823489	1824898	+	1824193	1.0	1.0	collinear
gene:TraesCS1A03G0009700	Chr1A	2599654	2609145	-	2604399	Chr1A	1843893	1853384	-	1848638	1.0	1.0	collinear
gene:TraesCS1A03G0009800	Chr1A	2632156	2645682	+	2638919	Chr1A	1876404	1889922	+	1883163	1.0	1.0	collinear
gene:TraesCS1A03G0010100	Chr1A	2702309	2725215	+	2713762	Chr1A	1946542	1969443	+	1957992	1.0	1.0	collinear
gene:TraesCS1A03G0013900	Chr1A	3747551	3750600	+	3749075	Chr1A	4702591	4706030	+	4704310	1.0	0.958	collinear
gene:TraesCS1A03G0014600	Chr1A	3968199	3969779	+	3968989	Chr1A	4945299	4946854	+	4946076	0.984	0.98	collinear
gene:TraesCS1A03G0014800	Chr1A	3971915	3974133	-	3973024	Chr1A	4948991	4951209	-	4950100	1.0	1.0	collinear
gene:TraesCS1A03G0014900	Chr1A	3975641	3979278	+	3977459	Chr1A	4952715	4956352	+	4954533	1.0	0.997	collinear
gene:TraesCS1A03G0015100	Chr1A	4006353	4007991	+	4007172	Chr1A	4983439	4985077	+	4984258	1.0	0.997	collinear
gene:TraesCS1A03G0015600	Chr1A	4110192	4111500	+	4110846	Chr1A	5088849	5090157	+	5089503	1.0	0.996	collinear
gene:TraesCS1A03G0015700	Chr1A	4112376	4115274	-	4113825	Chr1A	5091033	5093990	-	5092511	1.0	0.96	collinear
gene:TraesCS1A03G0016000	Chr1A	4248617	4255576	-	4252096	Chr1A	5226397	5233064	-	5229730	1.0	1.0	collinear
gene:TraesCS1A03G0016200	Chr1A	4370836	4376697	+	4373766	Chr1A	5347539	5353400	+	5350469	1.0	1.0	collinear
gene:TraesCS1A03G0016300	Chr1A	4379285	4384806	-	4382045	Chr1A	5355988	5361504	-	5358746	1.0	0.999	collinear
gene:TraesCS1A03G0016400	Chr1A	4439929	4443198	+	4441563	Chr1A	5415362	5418631	+	5416996	1.0	1.0	collinear
gene:TraesCS1A03G0016500	Chr1A	4444852	4447770	-	4446311	Chr1A	5420285	5423203	-	5421744	1.0	1.0	collinear
gene:TraesCS1A03G0016700	Chr1A	4455552	4458579	-	4457065	Chr1A	5430985	5434012	-	5432498	1.0	1.0	collinear
gene:TraesCS1A03G0017100	Chr1A	4481219	4484678	-	4482948	Chr1A	5456654	5460113	-	5458383	1.0	1.0	collinear
gene:TraesCS1A03G0017200	Chr1A	4493001	4496793	-	4494897	Chr1A	5468457	5472249	-	5470353	1.0	1.0	collinear
gene:TraesCS1A03G0017400	Chr1A	4524156	4525613	-	4524884	Chr1A	5499612	5501069	-	5500340	1.0	1.0	collinear
gene:TraesCS1A03G0017500	Chr1A	4570594	4574086	-	4572340	Chr1A	5546057	5549549	-	5547803	1.0	1.0	collinear
gene:TraesCS1A03G0017700	Chr1A	4605426	4609380	-	4607403	Chr1A	5580858	5584812	-	5582835	1.0	0.998	collinear
gene:TraesCS1A03G0018400	Chr1A	4643782	4647658	-	4645720	Chr1A	5618917	5622793	-	5620855	1.0	0.999	collinear
gene:TraesCS1A03G0019200	Chr1A	4764892	4765791	+	4765341	Chr1A	5653229	5654164	+	5653696	1.0	0.961	collinear
gene:TraesCS1A03G0019300	Chr1A	4783488	4784380	+	4783934	Chr1A	5671929	5672821	+	5672375	1.0	0.991	collinear
gene:TraesCS1A03G0019600	Chr1A	4833835	4834480	-	4834157	Chr1A	5726714	5727344	-	5727029	0.976	0.973	collinear
gene:TraesCS1A03G0019800	Chr1A	4897332	4898204	+	4897768	Chr1A	5808385	5809228	+	5808806	0.965	0.955	collinear
gene:TraesCS1A03G0020400	Chr1A	5018187	5019044	+	5018615	Chr1A	5947332	5948189	+	5947760	1.0	0.996	collinear
gene:TraesCS1A03G0020500	Chr1A	5026172	5027029	+	5026600	Chr1A	5964895	5965752	+	5965323	1.0	0.993	collinear
gene:TraesCS1A03G0020600	Chr1A	5030561	5033532	+	5032046	Chr1A	5969351	5972321	+	5970836	1.0	0.997	collinear
gene:TraesCS1A03G0020700	Chr1A	5032814	5033138	-	5032976	Chr1A	5971603	5971927	-	5971765	1.0	1.0	collinear
gene:TraesCS1A03G0020800	Chr1A	5038069	5038671	+	5038370	Chr1A	5976850	5977452	+	5977151	1.0	1.0	collinear
gene:TraesCS1A03G0020900	Chr1A	5039590	5039808	+	5039699	Chr1A	5978371	5978589	+	5978480	1.0	1.0	collinear
gene:TraesCS1A03G0021200	Chr1A	5048045	5048254	+	5048149	Chr1A	5986468	5986677	+	5986572	1.0	1.0	collinear
gene:TraesCS1A03G0021300	Chr1A	5080241	5080916	+	5080578	Chr1A	6018669	6019353	+	6019011	1.0	0.986	collinear
gene:TraesCS1A03G0021500	Chr1A	5185968	5186757	-	5186362	Chr1A	6124425	6125214	-	6124819	1.0	0.998	collinear
gene:TraesCS1A03G0022100	Chr1A	5545869	5552088	+	5548978	Chr1A	6458145	6464444	+	6461294	0.969	0.92	collinear
gene:TraesCS1A03G0022300	Chr1A	5597980	5603264	+	5600622	Chr1A	6510339	6515623	+	6512981	1.0	0.999	collinear
gene:TraesCS1A03G0022500	Chr1A	5708688	5710991	+	5709839	Chr1A	6620716	6623019	+	6621867	1.0	0.999	collinear
gene:TraesCS1A03G0023500	Chr1A	5849114	5850676	+	5849895	Chr1A	6761102	6762664	+	6761883	1.0	1.0	collinear
gene:TraesCS1A03G0023600	Chr1A	5856277	5858141	+	5857209	Chr1A	6768265	6770129	+	6769197	1.0	1.0	collinear
gene:TraesCS1A03G0023800	Chr1A	6068357	6073773	-	6071065	Chr1A	6979918	6985334	-	6982626	1.0	0.999	collinear
gene:TraesCS1A03G0023900	Chr1A	6173623	6173880	+	6173751	Chr1A	7084857	7085114	+	7084985	1.0	1.0	collinear
gene:TraesCS1A03G0024000	Chr1A	6191836	6194323	-	6193079	Chr1A	7103071	7105558	-	7104314	1.0	1.0	collinear
gene:TraesCS1A03G0024300	Chr1A	6273767	6275702	+	6274734	Chr1A	7166899	7168834	+	7167866	1.0	1.0	collinear
gene:TraesCS1A03G0024500	Chr1A	6665657	6669742	+	6667699	Chr1A	7586455	7590540	+	7588497	1.0	1.0	collinear
gene:TraesCS1A03G0024800	Chr1A	6691708	6697915	-	6694811	Chr1A	7597608	7603322	-	7600465	0.916	0.915	collinear
gene:TraesCS1A03G0024900	Chr1A	6711203	6717422	-	6714312	Chr1A	7616592	7622811	-	7619701	1.0	1.0	collinear
gene:TraesCS1A03G0025200	Chr1A	6834075	6839374	-	6836724	Chr1A	7732899	7738198	-	7735548	1.0	0.998	collinear
gene:TraesCS1A03G0025600	Chr1A	7060292	7063576	+	7061934	Chr1A	7957703	7960987	+	7959345	1.0	1.0	collinear
gene:TraesCS1A03G0026100	Chr1A	7196234	7200940	-	7198587	Chr1A	8093716	8098422	-	8096069	1.0	1.0	collinear
gene:TraesCS1A03G0026200	Chr1A	7211036	7211731	-	7211383	Chr1A	8108519	8109214	-	8108866	1.0	1.0	collinear
