cs_chr	cs_start	cs_end	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	n_anchors	mean_identity
Chr1A	2572321	161541694	Chr1A	1816559	163524677	1137	0.9955233069481092
Chr1A	163678239	179426534	Chr1A	165713080	195033867	30	0.9958
Chr1A	187212146	195578524	Chr1A	180645463	197487130	9	0.9983333333333336
Chr1A	202719482	204217307	Chr1A	204663182	206159087	5	0.9958
Chr1A	206439950	211446295	Chr1A	208357907	213351531	8	0.9965
Chr1A	214015968	215899220	Chr1A	215216869	219044464	5	0.9974
Chr1A	218414024	411777219	Chr1A	222316594	435700972	899	0.9950088987764182
Chr1A	413826758	510508522	Chr1A	433050489	533546837	789	0.9969049429657796
Chr1A	514109629	547625897	Chr1A	533694446	567489629	419	0.9932076372315036
Chr1A	552234625	567611882	Chr1A	575334098	591096788	237	0.9961772151898732
Chr1A	575760323	598556974	Chr1A	594215686	616554719	306	0.9929444444444444
