gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	MOV_tgt_strand	MOV_tgt_midpoint	MOV_coverage	MOV_identity	segment
gene:TraesCS7D03G0000400	Chr7D	207994	212443	-	210218	Chr7D	407775	412224	-	409999	1.0	1.0	collinear
gene:TraesCS7D03G0000500	Chr7D	242065	245782	+	243923	Chr7D	441846	445563	+	443704	1.0	0.999	collinear
gene:TraesCS7D03G0000900	Chr7D	337014	337852	+	337433	Chr7D	536693	537531	+	537112	1.0	1.0	collinear
gene:TraesCS7D03G0001000	Chr7D	365927	369790	-	367858	Chr7D	565312	569176	-	567244	1.0	0.996	collinear
gene:TraesCS7D03G0001100	Chr7D	371892	373182	-	372537	Chr7D	571278	572568	-	571923	1.0	1.0	collinear
gene:TraesCS7D03G0001400	Chr7D	478186	482086	-	480136	Chr7D	677547	681447	-	679497	1.0	1.0	collinear
gene:TraesCS7D03G0001900	Chr7D	706058	709008	-	707533	Chr7D	908067	911018	-	909542	1.0	0.989	collinear
gene:TraesCS7D03G0002100	Chr7D	995282	1001481	-	998381	Chr7D	1196705	1202904	-	1199804	1.0	1.0	collinear
gene:TraesCS7D03G0002300	Chr7D	1028545	1032002	-	1030273	Chr7D	1229997	1233454	-	1231725	1.0	1.0	collinear
gene:TraesCS7D03G0002600	Chr7D	1089491	1090678	-	1090084	Chr7D	1290944	1292131	-	1291537	1.0	1.0	collinear
gene:TraesCS7D03G0002800	Chr7D	1101311	1104311	-	1102811	Chr7D	1302758	1305731	-	1304244	0.991	0.986	collinear
gene:TraesCS7D03G0002900	Chr7D	1138064	1151035	-	1144549	Chr7D	1339699	1352660	-	1346179	1.0	1.0	collinear
gene:TraesCS7D03G0003200	Chr7D	1197663	1199279	-	1198471	Chr7D	1399214	1400830	-	1400022	1.0	1.0	collinear
gene:TraesCS7D03G0003900	Chr7D	1268276	1269780	-	1269028	Chr7D	1468796	1470300	-	1469548	1.0	1.0	collinear
gene:TraesCS7D03G0004000	Chr7D	1270782	1275797	-	1273289	Chr7D	1471302	1476309	-	1473805	1.0	1.0	collinear
gene:TraesCS7D03G0004300	Chr7D	1318295	1332709	+	1325502	Chr7D	1518822	1533260	+	1526041	1.0	1.0	collinear
gene:TraesCS7D03G0004400	Chr7D	1335304	1336512	+	1335908	Chr7D	1535855	1537063	+	1536459	1.0	1.0	collinear
gene:TraesCS7D03G0004500	Chr7D	1367440	1372889	+	1370164	Chr7D	1567992	1573458	+	1570725	1.0	1.0	collinear
gene:TraesCS7D03G0004600	Chr7D	1423297	1428624	-	1425960	Chr7D	1623859	1629185	-	1626522	0.999	0.999	collinear
gene:TraesCS7D03G0004700	Chr7D	1568149	1569787	+	1568968	Chr7D	1769556	1771194	+	1770375	1.0	1.0	collinear
gene:TraesCS7D03G0005200	Chr7D	1622734	1623927	-	1623330	Chr7D	1824174	1825367	-	1824770	1.0	1.0	collinear
gene:TraesCS7D03G0005300	Chr7D	1630150	1631499	-	1630824	Chr7D	1831590	1832939	-	1832264	1.0	1.0	collinear
gene:TraesCS7D03G0005400	Chr7D	1638146	1638877	-	1638511	Chr7D	1839586	1840317	-	1839951	1.0	1.0	collinear
gene:TraesCS7D03G0005500	Chr7D	1648975	1654512	-	1651743	Chr7D	1850406	1855943	-	1853174	1.0	1.0	collinear
gene:TraesCS7D03G0005800	Chr7D	1673923	1675253	+	1674588	Chr7D	1875356	1876686	+	1876021	1.0	1.0	collinear
