cs_chr	cs_start	cs_end	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	n_anchors	mean_identity
Chr7D	210218	55365609	Chr7D	409999	60727258	844	0.9992428909952606
Chr7D	60210053	63906983	Chr7D	60790660	64420680	64	0.99815625
Chr7D	66202493	78503767	Chr7D	64444484	76716524	156	0.9976858974358975
Chr7D	81027899	251754211	Chr7D	76730115	247846653	1339	0.9991516056758776
Chr7D	303192839	308999203	Chr7D	292396511	298181967	20	0.99985
Chr7D	311331614	315519045	Chr7D	300513475	304692274	11	0.9977272727272727
Chr7D	385941913	439632561	Chr7D	371893013	440557709	377	0.9995305039787797
Chr7D	447092200	613601167	Chr7D	440693793	609422343	1518	0.9986772068511198
Chr7D	616526222	642831662	Chr7D	610250185	636713600	403	0.9996029776674938
Chr7D	262720458	282517414	Chr7D	248928287	268780015	97	0.9995979381443301
Chr7D	284804194	287605519	Chr7D	271089141	273910517	5	0.9958
Chr7D	289812212	301466571	Chr7D	276103552	287412163	20	0.9996500000000001
Chr7D	316938443	319219894	Chr7D	288119384	290396428	3	0.9993333333333334
Chr7D	320605710	323749465	Chr7D	306856892	309996362	6	1.0
Chr7D	326109003	342132821	Chr7D	312368264	328275713	19	0.9996315789473685
Chr7D	344251962	385363018	Chr7D	330332811	371314278	111	0.9995405405405405
