cs_chr	cs_start	cs_end	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	n_anchors	mean_identity
Chr6B	5123	11939231	Chr6B	634044	10957741	113	0.9933274336283187
Chr6B	19567148	44496670	Chr6B	11359479	34063871	272	0.9903308823529412
Chr6B	48153249	77869704	Chr6B	34386170	64647535	299	0.9983076923076925
Chr6B	80653183	81402145	Chr6B	64735875	65478197	8	1.0
Chr6B	86816469	95665477	Chr6B	65708216	74540707	59	0.9977966101694916
Chr6B	98036527	109698670	Chr6B	75165722	86407314	62	0.9979354838709679
Chr6B	112200748	114854793	Chr6B	88915035	91575260	7	0.9998571428571429
Chr6B	117450833	129884590	Chr6B	94592005	107142871	101	0.990069306930693
Chr6B	140285831	189954032	Chr6B	107737169	155662034	303	0.9935610561056105
Chr6B	196283143	199089356	Chr6B	155936677	158839458	15	0.9954666666666666
Chr6B	210486601	220212173	Chr6B	159550562	169202724	51	0.9986470588235293
Chr6B	235599465	243449207	Chr6B	173213332	181091195	36	0.9973333333333332
Chr6B	249274084	251986914	Chr6B	183917043	186650980	6	0.9974999999999999
Chr6B	254530459	256302862	Chr6B	186892808	188650798	11	0.9919999999999999
Chr6B	261263057	262575295	Chr6B	189513219	190729137	10	0.9982
Chr6B	271066163	271204143	Chr6B	171126243	171270109	6	0.9966666666666667
Chr6B	281288768	289129738	Chr6B	190858971	198675566	36	0.9980277777777778
Chr6B	292829101	297214023	Chr6B	202693875	207061994	20	0.9936999999999999
Chr6B	301908638	303601662	Chr6B	207914781	209625555	9	0.9966666666666667
Chr6B	348550830	349642328	Chr6B	212189800	213226914	3	0.9936666666666666
Chr6B	352634401	356234110	Chr6B	236025288	239589551	6	0.9993333333333334
Chr6B	367054723	376711447	Chr6B	219063301	228859536	17	0.9987058823529412
Chr6B	384486113	387071487	Chr6B	215214200	217876896	5	0.999
Chr6B	411611165	419085797	Chr6B	240888702	248300241	15	0.9987333333333334
Chr6B	441347240	449326149	Chr6B	248593403	256385105	42	0.9978095238095238
Chr6B	452819490	484989524	Chr6B	259803220	294972136	160	0.99649375
Chr6B	506138441	523759415	Chr6B	295454924	313012540	106	0.9989905660377358
Chr6B	533720395	569960923	Chr6B	314061948	349779125	216	0.9986574074074073
Chr6B	575808281	589530868	Chr6B	349798426	362920450	99	0.9952828282828284
Chr6B	601363413	608143452	Chr6B	364078171	370977130	32	0.9944375
Chr6B	616521242	629148387	Chr6B	372654854	385100335	91	0.99510989010989
Chr6B	631157333	635284956	Chr6B	387417198	391656519	33	0.9955757575757578
Chr6B	638657051	656081419	Chr6B	394155341	411903959	144	0.9914791666666667
Chr6B	659712475	713795936	Chr6B	412010956	466416974	555	0.9934198198198197
Chr6B	717448570	731065543	Chr6B	466779802	480247147	146	0.9783424657534247
