gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	MOV_tgt_strand	MOV_tgt_midpoint	MOV_coverage	MOV_identity
gene:TraesCS4B03G0000300	Chr4B	232361	233964	-	233162	Chr4B	250161	251727	-	250944	0.958	0.922
gene:TraesCS4B03G0000400	Chr4B	234311	235908	-	235109	Chr4B	252074	253671	-	252872	1.0	0.998
gene:TraesCS4B03G0000500	Chr4B	630437	634424	+	632430	Chr4B	651957	655895	+	653926	0.985	0.985
gene:TraesCS4B03G0000600	Chr4B	635301	639416	-	637358	Chr4B	656768	660903	-	658835	1.0	0.991
gene:TraesCS4B03G0000700	Chr4B	689726	690943	+	690334	Chr4B	711222	712436	+	711829	0.985	0.97
gene:TraesCS4B03G0000900	Chr4B	691894	697186	-	694540	Chr4B	713857	719187	-	716522	1.0	0.992
gene:TraesCS4B03G0001100	Chr4B	707693	710911	+	709302	Chr4B	732176	735421	+	733798	0.998	0.984
gene:TraesCS4B03G0001400	Chr4B	754576	755193	+	754884	Chr4B	766597	767226	+	766911	1.0	0.973
gene:TraesCS4B03G0001500	Chr4B	816760	817386	-	817073	Chr4B	816597	817223	-	816910	1.0	0.99
gene:TraesCS4B03G0001700	Chr4B	849504	850496	-	850000	Chr4B	848390	849406	-	848898	1.0	0.974
gene:TraesCS4B03G0001800	Chr4B	871710	872102	+	871906	Chr4B	870241	870630	+	870435	0.992	0.969
gene:TraesCS4B03G0001900	Chr4B	895192	896810	+	896001	Chr4B	893702	895326	+	894514	1.0	0.972
gene:TraesCS4B03G0002000	Chr4B	895341	896708	-	896024	Chr4B	893851	895224	-	894537	1.0	0.967
gene:TraesCS4B03G0002100	Chr4B	902508	905787	+	904147	Chr4B	909408	912689	+	911048	1.0	0.994
gene:TraesCS4B03G0002200	Chr4B	1124957	1126970	+	1125963	Chr4B	1106579	1108544	+	1107561	0.975	0.973
gene:TraesCS4B03G0002400	Chr4B	1138844	1139764	+	1139304	Chr4B	1120414	1121334	+	1120874	1.0	0.996
gene:TraesCS4B03G0002500	Chr4B	1141387	1143114	-	1142250	Chr4B	1122882	1124609	-	1123745	0.999	0.998
gene:TraesCS4B03G0002700	Chr4B	1144783	1145893	+	1145338	Chr4B	1126278	1127450	+	1126864	0.996	0.922
gene:TraesCS4B03G0002900	Chr4B	1291719	1293491	+	1292605	Chr4B	1240522	1242292	+	1241407	0.998	0.997
gene:TraesCS4B03G0003100	Chr4B	1304995	1306038	+	1305516	Chr4B	1253748	1254791	+	1254269	0.997	0.968
gene:TraesCS4B03G0003200	Chr4B	1322700	1324740	+	1323720	Chr4B	1271518	1273456	+	1272487	0.98	0.968
gene:TraesCS4B03G0003300	Chr4B	1336993	1338899	+	1337946	Chr4B	1367226	1369136	+	1368181	1.0	0.994
gene:TraesCS4B03G0003400	Chr4B	1351991	1352386	-	1352188	Chr4B	1373432	1373818	-	1373625	0.977	0.972
gene:TraesCS4B03G0003600	Chr4B	1386123	1388841	+	1387482	Chr4B	1416259	1418981	+	1417620	1.0	0.995
gene:TraesCS4B03G0003700	Chr4B	1405651	1408832	+	1407241	Chr4B	1426041	1429259	+	1427650	0.98	0.925
gene:TraesCS4B03G0003800	Chr4B	1685750	1687075	+	1686412	Chr4B	2040157	2041460	+	2040808	0.969	0.944
gene:TraesCS4B03G0004200	Chr4B	1757457	1761476	+	1759466	Chr4B	2091457	2095482	+	2093469	1.0	0.999
