gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	MOV_tgt_strand	MOV_tgt_midpoint	MOV_coverage	MOV_identity
gene:TraesCS1D03G0008200	Chr1D	2648853	2656401	+	2652627	Chr1D	2033669	2041217	+	2037443	1.0	0.999
gene:TraesCS1D03G0008400	Chr1D	2658914	2664872	-	2661893	Chr1D	2043730	2049688	-	2046709	1.0	1.0
gene:TraesCS1D03G0008600	Chr1D	2718545	2721537	+	2720041	Chr1D	2056142	2059134	+	2057638	1.0	1.0
gene:TraesCS1D03G0008800	Chr1D	2722891	2723820	-	2723355	Chr1D	2060488	2061417	-	2060952	1.0	1.0
gene:TraesCS1D03G0009100	Chr1D	2796340	2799441	-	2797890	Chr1D	2150778	2153879	-	2152328	1.0	1.0
gene:TraesCS1D03G0009200	Chr1D	2803813	2805476	+	2804644	Chr1D	2157876	2159539	+	2158707	1.0	1.0
gene:TraesCS1D03G0009300	Chr1D	2808366	2809991	-	2809178	Chr1D	2162429	2164054	-	2163241	1.0	1.0
gene:TraesCS1D03G0009400	Chr1D	2818068	2821589	-	2819828	Chr1D	2172131	2175652	-	2173891	1.0	0.999
gene:TraesCS1D03G0009500	Chr1D	2850565	2852033	-	2851299	Chr1D	2266014	2267482	-	2266748	1.0	0.997
gene:TraesCS1D03G0009900	Chr1D	2927907	2928881	+	2928394	Chr1D	2319953	2320936	+	2320444	1.0	0.987
gene:TraesCS1D03G0010000	Chr1D	2945825	2946808	+	2946316	Chr1D	2337619	2338602	+	2338110	1.0	0.994
gene:TraesCS1D03G0010400	Chr1D	3008174	3009061	+	3008617	Chr1D	2404108	2405004	+	2404556	1.0	0.988
gene:TraesCS1D03G0010500	Chr1D	3017359	3018255	+	3017807	Chr1D	2412907	2413803	+	2413355	1.0	1.0
gene:TraesCS1D03G0010600	Chr1D	3035516	3036070	+	3035793	Chr1D	2427133	2427687	+	2427410	1.0	1.0
gene:TraesCS1D03G0010900	Chr1D	3049234	3052252	+	3050743	Chr1D	2440851	2443869	+	2442360	1.0	1.0
gene:TraesCS1D03G0011000	Chr1D	3051473	3051794	-	3051633	Chr1D	2443090	2443411	-	2443250	1.0	1.0
gene:TraesCS1D03G0011200	Chr1D	3058505	3059110	+	3058807	Chr1D	2449847	2450452	+	2450149	1.0	1.0
gene:TraesCS1D03G0011300	Chr1D	3060050	3060268	+	3060159	Chr1D	2451392	2451610	+	2451501	1.0	1.0
gene:TraesCS1D03G0011800	Chr1D	3134519	3134782	-	3134650	Chr1D	2525749	2526012	-	2525880	1.0	1.0
gene:TraesCS1D03G0011900	Chr1D	3146520	3146738	+	3146629	Chr1D	2537316	2537534	+	2537425	1.0	1.0
gene:TraesCS1D03G0012000	Chr1D	3156660	3157255	+	3156957	Chr1D	2547455	2548050	+	2547752	1.0	1.0
gene:TraesCS1D03G0012400	Chr1D	3168296	3169363	-	3168829	Chr1D	2559091	2560158	-	2559624	1.0	1.0
gene:TraesCS1D03G0012300	Chr1D	3168296	3169363	-	3168829	Chr1D	2559091	2560158	-	2559624	1.0	1.0
gene:TraesCS1D03G0012500	Chr1D	3190753	3196211	+	3193482	Chr1D	2581547	2587005	+	2584276	1.0	1.0
gene:TraesCS1D03G0012700	Chr1D	3317114	3318407	+	3317760	Chr1D	2705038	2706332	+	2705685	1.0	1.0
gene:TraesCS1D03G0012800	Chr1D	3350322	3352192	+	3351257	Chr1D	2737888	2739758	+	2738823	1.0	1.0
gene:TraesCS1D03G0013000	Chr1D	3377746	3382876	+	3380311	Chr1D	2767008	2772138	+	2769573	1.0	1.0
gene:TraesCS1D03G0013100	Chr1D	3429890	3431151	+	3430520	Chr1D	2816639	2817900	+	2817269	1.0	1.0
gene:TraesCS1D03G0013800	Chr1D	3627105	3631812	-	3629458	Chr1D	3010020	3014727	-	3012373	1.0	0.999
gene:TraesCS1D03G0014100	Chr1D	3654017	3654448	+	3654232	Chr1D	3036826	3037257	+	3037041	1.0	1.0
gene:TraesCS1D03G0014200	Chr1D	3667788	3668400	+	3668094	Chr1D	3050346	3050958	+	3050652	1.0	1.0
gene:TraesCS1D03G0014300	Chr1D	3673182	3675464	-	3674323	Chr1D	3055462	3057744	-	3056603	1.0	1.0
gene:TraesCS1D03G0099400	Chr1D	29827737	29844048	-	29835892	Chr1D	14290519	14306632	-	14298575	1.0	1.0
gene:TraesCS1D03G0100000	Chr1D	29863584	29867587	-	29865585	Chr1D	14326150	14330153	-	14328151	1.0	0.999
gene:TraesCS1D03G0100100	Chr1D	29960720	29974843	+	29967781	Chr1D	14422935	14437061	+	14429998	1.0	1.0
gene:TraesCS1D03G0100200	Chr1D	29969295	29971765	-	29970530	Chr1D	14431510	14433980	-	14432745	1.0	1.0
gene:TraesCS1D03G0100400	Chr1D	29976177	29981128	+	29978652	Chr1D	14438395	14443346	+	14440870	1.0	1.0
gene:TraesCS1D03G0100600	Chr1D	30137925	30139244	+	30138584	Chr1D	14600180	14601499	+	14600839	1.0	1.0
gene:TraesCS1D03G0101000	Chr1D	30144230	30147950	-	30146090	Chr1D	14606640	14610360	-	14608500	1.0	1.0
gene:TraesCS1D03G0101300	Chr1D	30181420	30186780	-	30184100	Chr1D	14643819	14649179	-	14646499	1.0	0.999
gene:TraesCS1D03G0101700	Chr1D	30449625	30451673	+	30450649	Chr1D	14905755	14907804	+	14906779	1.0	0.998
gene:TraesCS1D03G0101800	Chr1D	30456479	30458489	-	30457484	Chr1D	14912610	14914620	-	14913615	1.0	0.999
gene:TraesCS1D03G0101900	Chr1D	30481841	30487516	+	30484678	Chr1D	14937981	14943627	+	14940804	0.991	0.991
gene:TraesCS1D03G0102000	Chr1D	30497640	30500191	-	30498915	Chr1D	14953757	14956308	-	14955032	1.0	1.0
gene:TraesCS1D03G0102100	Chr1D	30507992	30510437	-	30509214	Chr1D	14964268	14966713	-	14965490	1.0	1.0
gene:TraesCS1D03G0102200	Chr1D	30573794	30574627	+	30574210	Chr1D	15030070	15030903	+	15030486	1.0	1.0
gene:TraesCS1D03G0102300	Chr1D	30770961	30775371	+	30773166	Chr1D	15226196	15230615	+	15228405	1.0	0.989
gene:TraesCS1D03G0102500	Chr1D	30785381	30789932	+	30787656	Chr1D	15240625	15245176	+	15242900	1.0	0.999
gene:TraesCS1D03G0102600	Chr1D	30849127	30850670	+	30849898	Chr1D	15304397	15305940	+	15305168	1.0	1.0
gene:TraesCS1D03G0102800	Chr1D	30853601	30856426	+	30855013	Chr1D	15308874	15311699	+	15310286	1.0	1.0
gene:TraesCS1D03G0103000	Chr1D	30858519	30860785	+	30859652	Chr1D	15313792	15316058	+	15314925	1.0	1.0
gene:TraesCS1D03G0103400	Chr1D	30895165	30896467	+	30895816	Chr1D	15350440	15351742	+	15351091	1.0	0.999
