cs_chr	cs_start	cs_end	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	n_anchors	mean_identity
Chr6B	114487	103962989	Chr6B	22490	109739086	1150	0.9996965217391305
Chr6B	106468710	109142658	Chr6B	112233274	114880918	7	1.0
Chr6B	111685641	240401733	Chr6B	118037587	247837240	817	0.9998053855569156
Chr6B	243269422	252842611	Chr6B	250652549	261836056	30	1.0
Chr6B	255004953	262472341	Chr6B	263978108	271430985	32	1.0
Chr6B	264839998	264978909	Chr6B	273767336	273905513	6	1.0
Chr6B	267065797	267505591	Chr6B	275976636	276412573	3	1.0
Chr6B	269689585	282983990	Chr6B	278575051	291758144	45	0.9999111111111112
Chr6B	286712737	302596217	Chr6B	295454832	314773754	52	0.9983269230769231
Chr6B	304894478	321293096	Chr6B	317039927	336553101	35	0.9997714285714286
Chr6B	333518318	339367085	Chr6B	354984623	361336536	11	1.0
Chr6B	341712366	343111521	Chr6B	364247659	365635408	5	1.0
Chr6B	345222248	354958562	Chr6B	367723065	377403132	29	1.0
Chr6B	360416955	382771932	Chr6B	383065051	405699132	32	0.997125
Chr6B	387119500	426829844	Chr6B	410004946	451867563	96	0.9981770833333333
Chr6B	429264238	441049080	Chr6B	454274559	468113765	53	0.999867924528302
Chr6B	444540716	620708761	Chr6B	471592876	651822781	1038	0.9998815028901734
Chr6B	622726250	626889431	Chr6B	653923422	658047412	38	1.0
Chr6B	630465748	720953306	Chr6B	661620287	754875137	1110	0.9995720720720721
