cs_chr	CS_IAAS_tgt_chr	n_anchors	CS_IAAS_mean_anchor_gap_Mb	CS_IAAS_interp_type	n_segments	CS_IAAS_mean_anchor_fraction
Chr1A	Chr1A	4299	0.138	linear	1	0.99
Chr1B	Chr1B+Chr1B+Chr1B+Chr1B	4662	0.097	pchip+linear+pchip+pchip	4	0.99
Chr1D	Chr1D+Chr1D	4414	0.073	pchip+linear	2	0.988
Chr2A	Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A	5538	0.466	pchip+pchip_inverted+linear+pchip_inverted+pchip_inverted+linear+pchip_inverted+pchip_inverted+linear	9	0.967
Chr2B	Chr2B+Chr2B+Chr2B+Chr2B+Chr2B+Chr2B	5941	0.141	pchip_inverted+linear+pchip+linear+pchip_inverted+pchip_inverted	6	0.93
Chr2D	Chr2D+Chr2D	5728	0.081	linear+pchip_inverted	2	0.989
Chr3A	Chr3A+Chr3A+Chr3A+Chr3A+Chr3A+Chr3A	5208	0.103	linear+pchip_inverted+pchip_inverted+pchip_inverted+pchip+pchip	6	0.995
Chr3B	Chr3B+Chr3B+Chr3B	5630	0.117	linear+linear+pchip_inverted	3	0.969
Chr3D	Chr3D+Chr3D+Chr3D+Chr3D	5302	0.133	linear+pchip_inverted+pchip_inverted+linear	4	0.996
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A+Chr4A	4825	0.275	linear+pchip+linear+pchip+pchip_inverted	5	0.994
Chr4B	Chr4B	3845	0.175	linear	1	0.991
Chr4D	Chr4D+Chr4D	3567	0.1	linear+pchip	2	0.996
Chr5A	Chr5A+Chr5A+Chr5A+Chr5A	5408	0.12	pchip_inverted+linear+pchip_inverted+linear	4	0.997
Chr5B	Chr5B+Chr5B+Chr5B+Chr5B+Chr5B	5548	0.084	pchip_inverted+pchip_inverted+pchip+linear+linear	5	0.993
Chr5D	Chr5D+Chr5D+Chr5D+Chr5D	5292	0.109	pchip+linear+linear+pchip	4	0.959
Chr6A	Chr6A	4107	0.15	linear	1	0.994
Chr6B	Chr6B	4596	0.157	linear	1	0.996
Chr6D	Chr6D+Chr6D+Chr6D	3995	0.085	linear+pchip_inverted+linear	3	0.998
Chr7A	Chr7A+Chr7A	5512	0.081	pchip+linear	2	0.994
Chr7B	Chr7B+Chr7B+Chr7B+Chr7B	4773	0.152	linear+linear+pchip+linear	4	0.989
Chr7D	Chr7D+Chr7D+Chr7D	5374	0.072	pchip+linear+pchip_inverted	3	0.996
