cs_chr	cs_start	cs_end	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	n_anchors	mean_identity
Chr1B	170911	76138867	Chr1B	194335	85856418	845	0.9995112426035503
Chr1B	80709308	85441230	Chr1B	91531466	96245406	18	1.0
Chr1B	87732453	218433567	Chr1B	98501160	231922015	587	0.9998160136286202
Chr1B	220753045	223795187	Chr1B	234662984	237743703	6	1.0
Chr1B	225799645	231641237	Chr1B	239731624	245777188	9	0.9991111111111112
Chr1B	234252905	238674276	Chr1B	248380006	253465093	8	1.0
Chr1B	242243850	243089038	Chr1B	255802356	256607997	4	1.0
Chr1B	245942911	289694136	Chr1B	261921952	306677021	129	0.9995426356589148
Chr1B	292342566	292422556	Chr1B	309336014	309414418	5	1.0
Chr1B	294946215	682025360	Chr1B	311933620	705858606	2989	0.9996630980260958
