cs_chr	cs_start	cs_end	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	n_anchors	mean_identity
Chr5A	14293	60528080	Chr5A	25546	65240236	574	0.9997909407665505
Chr5A	63377052	151734470	Chr5A	68080822	155623288	405	0.9994444444444444
Chr5A	155555039	159534199	Chr5A	159477132	163601387	13	1.0
Chr5A	161914114	180994113	Chr5A	165960977	185262267	37	0.9998648648648648
Chr5A	183430057	185651119	Chr5A	187678741	189878628	4	1.0
Chr5A	191038029	199222973	Chr5A	195222069	203326728	16	1.0
Chr5A	203479442	222599127	Chr5A	207552943	226726587	33	1.0
Chr5A	224689467	248536470	Chr5A	228799890	256149858	62	1.0
Chr5A	253597688	388640539	Chr5A	259752214	395518467	646	0.9997461300309598
Chr5A	393253490	397757855	Chr5A	400417239	404874398	46	1.0
Chr5A	402540994	429476860	Chr5A	409302971	436950340	147	0.9999251700680273
Chr5A	431744154	709675600	Chr5A	438645904	722055221	3345	0.999639461883408
