cs_chr	cs_start	cs_end	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	n_anchors	mean_identity
Chr4D	410678	140903099	Chr4D	251224	143277059	1435	0.9995923344947735
Chr4D	143579930	155648423	Chr4D	145938615	157922934	16	0.9999375
Chr4D	163412513	183387226	Chr4D	165681894	186209826	26	1.0
Chr4D	188710899	192736636	Chr4D	192125449	196119804	6	1.0
Chr4D	195017915	198583229	Chr4D	198382711	201919727	7	1.0
Chr4D	201443437	212157624	Chr4D	205228633	216626297	28	0.9995357142857142
Chr4D	214312396	228145178	Chr4D	218764444	232534869	23	1.0
Chr4D	230482531	238626311	Chr4D	234697179	243010553	11	0.9996363636363637
Chr4D	240933419	248933627	Chr4D	245300785	254141093	19	1.0
Chr4D	251524682	256552996	Chr4D	256711319	261705842	7	0.9951428571428572
Chr4D	258897131	261254698	Chr4D	264029161	266413913	6	1.0
Chr4D	263946972	268074619	Chr4D	269092251	273181249	7	1.0
Chr4D	270654719	329311457	Chr4D	275754576	334560101	243	0.999432098765432
Chr4D	331638064	375735889	Chr4D	336864849	380930900	303	0.9997656765676569
Chr4D	377828182	410407878	Chr4D	383056017	418803498	237	0.9996624472573841
Chr4D	412715801	509853899	Chr4D	421588682	521348007	1165	0.999510729613734
Chr4D	505700667	507006408	Chr4D	522758902	524054708	24	1.0
